param,level,n_robots,seed,steps,success_rate,cf_success_rate,steps_mean,total_dist_mean,max_dist_mean,jain_mean,obs_collisions_mean,robot_collisions_mean
collide_obstacle,-1.0,4,0,200000,0.89,0.09,122.6,315.72,87.42,0.9878193363472615,45.95,17.19
collide_obstacle,0.0,4,0,200000,0.92,0.08,112.62,288.12,80.24,0.9883393482578434,43.95,17.63
collide_robot,-100.0,4,0,200000,0.42,0.0,246.91,669.89,179.64,0.9955203996744528,48.51,15.28
collide_robot,-50.0,4,0,200000,0.66,0.03,201.55,543.51,146.17,0.993390474776357,49.95,16.09
collide_robot,-20.0,4,0,200000,0.92,0.11,128.12,329.28,91.78,0.9865654858763397,42.47,14.43
collide_robot,-10.0,4,0,200000,0.89,0.06,136.52,348.51,95.94,0.9901830073517768,47.16,19.26
collide_robot,-5.0,4,0,200000,0.91,0.08,129.32,332.77,92.88,0.986606176267186,45.01,16.94
collide_robot,-1.0,4,0,200000,0.93,0.08,106.58,268.91,74.94,0.987815878520788,41.52,14.28
collide_robot,0.0,4,0,200000,0.93,0.09,109.42,281.91,79.0,0.9865985634546294,39.31,14.46
potential_coef,0.02,5,0,200000,0.0,0.0,300.0,975.21,218.54,0.9905364854627906,40.2,14.26
potential_coef,0.1,5,0,200000,0.0,0.0,300.0,972.98,214.85,0.9920900419193787,52.59,19.24
potential_coef,0.25,5,0,200000,0.05,0.0,294.9,997.7,219.72,0.9929870531141085,63.16,22.87
potential_coef,0.5,5,0,200000,0.29,0.0,274.91,909.82,198.51,0.9938427448037678,64.7,37.72
potential_coef,1.0,5,0,200000,0.59,0.0,228.69,759.37,165.76,0.9932389049959874,62.52,41.27
potential_coef,2.0,5,0,200000,0.69,0.0,203.08,659.15,145.21,0.9917208737771194,65.57,42.31
potential_coef,5.0,5,0,200000,0.26,0.0,279.0,957.77,206.37,0.9956697561259312,70.76,37.36
step_cost,-5.0,5,0,200000,0.78,0.01,176.86,580.4,128.44,0.9916617037889776,60.19,39.16
step_cost,-2.0,5,0,200000,0.69,0.0,193.39,642.9,140.31,0.9925132336838515,64.75,37.97
step_cost,-1.0,5,0,200000,0.71,0.0,197.48,643.57,142.9,0.9909984480418609,68.88,40.13
step_cost,-0.5,5,0,200000,0.71,0.0,201.0,666.61,145.32,0.9933751855798414,58.97,39.86
step_cost,-0.2,5,0,200000,0.74,0.0,206.39,670.59,147.58,0.991771127987746,63.73,46.86
step_cost,-0.1,5,0,200000,0.65,0.0,212.53,687.73,150.36,0.9923630893921185,67.01,45.18
step_cost,-0.05,5,0,200000,0.69,0.0,203.08,659.15,145.21,0.9917208737771194,65.57,42.31
step_cost,0.0,5,0,200000,0.71,0.0,206.23,679.9,149.27,0.9925276881601925,67.8,41.64
collide_obstacle,-100.0,5,0,200000,0.09,0.0,289.76,968.43,212.03,0.9938447688274542,63.24,30.59
collide_obstacle,-50.0,5,0,200000,0.37,0.01,262.3,843.8,184.77,0.9938837550048547,54.58,43.88
collide_obstacle,-20.0,5,0,200000,0.66,0.0,221.07,725.11,158.13,0.993661788124175,57.71,42.32
collide_obstacle,-10.0,5,0,200000,0.64,0.0,218.04,707.73,154.82,0.9926258791570669,65.64,44.31
collide_obstacle,-5.0,5,0,200000,0.69,0.0,203.08,659.15,145.21,0.9917208737771194,65.57,42.31
collide_obstacle,-1.0,5,0,200000,0.73,0.0,196.36,647.65,141.66,0.9925556101018881,65.77,41.55
collide_obstacle,0.0,5,0,200000,0.61,0.0,211.1,702.61,153.14,0.993075126958424,70.48,41.61
collide_robot,-100.0,5,0,200000,0.04,0.0,296.22,1030.15,221.09,0.9963322618148797,70.08,25.79
collide_robot,-50.0,5,0,200000,0.12,0.0,287.78,975.61,209.77,0.9953436930027586,78.51,31.95
collide_robot,-20.0,5,0,200000,0.36,0.0,262.82,881.85,191.22,0.994908811253116,77.6,39.73
collide_robot,-10.0,5,0,200000,0.56,0.0,233.03,775.78,168.8,0.9940954354716909,69.08,43.98
collide_robot,-5.0,5,0,200000,0.69,0.0,203.08,659.15,145.21,0.9917208737771194,65.57,42.31
collide_robot,-1.0,5,0,200000,0.77,0.0,190.29,624.11,136.87,0.9932896554859706,61.48,42.04
collide_robot,0.0,5,0,200000,0.81,0.0,180.96,589.24,129.67,0.992208718501135,56.8,42.34
