method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
astar,bbox,2,20,-1,9,True,26,11,6,
ppo,,2,20,0,10,1.0,8.0,5.8,4.4,0.5532325000000005
astar,median,2,20,-1,10,True,12,4,2,
astar,component,2,20,-1,10,True,3,3,3,
astar,bbox,2,20,-1,10,True,12,4,2,
ppo,,2,20,0,11,1.0,11.6,13.8,8.0,0.5067827586206899
astar,median,2,20,-1,11,True,3,6,3,
astar,component,2,20,-1,11,True,8,10,7,
astar,bbox,2,20,-1,11,True,3,6,3,
ppo,,2,20,0,12,1.0,45.4,47.4,28.2,0.4589920704845827
astar,median,2,20,-1,12,True,9,14,9,
astar,component,2,20,-1,12,True,21,21,13,
astar,bbox,2,20,-1,12,True,9,14,9,
ppo,,2,20,0,13,1.0,57.0,49.0,27.4,0.4564150877192986
astar,median,2,20,-1,13,True,13,24,13,
astar,component,2,20,-1,13,True,41,54,31,
astar,bbox,2,20,-1,13,True,13,24,13,
ppo,,2,20,0,14,1.0,17.0,20.0,14.6,0.47232470588235365
astar,median,2,20,-1,14,True,7,14,7,
astar,component,2,20,-1,14,True,22,32,17,
astar,bbox,2,20,-1,14,True,7,14,7,
ppo,,2,20,0,15,1.0,112.2,81.6,52.4,0.43902139037433124
astar,median,2,20,-1,15,True,11,18,11,
astar,component,2,20,-1,15,True,27,31,17,
astar,bbox,2,20,-1,15,True,11,18,11,
ppo,,2,20,0,16,1.0,6.0,9.4,5.8,0.6112433333333259
astar,median,2,20,-1,16,True,3,6,3,
astar,component,2,20,-1,16,True,8,10,7,
astar,bbox,2,20,-1,16,True,3,6,3,
ppo,,2,20,0,17,1.0,6.2,10.6,6.0,0.5630838709677388
astar,median,2,20,-1,17,True,5,10,5,
astar,component,2,20,-1,17,True,12,16,9,
astar,bbox,2,20,-1,17,True,5,10,5,
ppo,,2,20,0,18,1.0,6.6,11.6,6.2,0.550996969696963
astar,median,2,20,-1,18,True,4,8,4,
astar,component,2,20,-1,18,True,12,16,9,
astar,bbox,2,20,-1,18,True,4,8,4,
ppo,,2,20,0,19,1.0,1.2,1.6,1.0,1.0509333333332815
astar,median,2,20,-1,19,True,1,2,1,
astar,component,2,20,-1,19,True,1,1,1,
astar,bbox,2,20,-1,19,True,1,2,1,
ppo,,2,20,1,0,1.0,19.2,26.8,14.6,0.4889520833333272
ppo,,2,20,1,1,1.0,22.6,30.0,17.2,0.4837973451327426
ppo,,2,20,1,2,1.0,67.8,59.6,37.2,0.4504778761061952
ppo,,2,20,1,3,1.0,16.4,27.4,14.6,0.4938317073170668
ppo,,2,20,1,4,1.0,12.4,17.0,10.2,0.5454838709677484
ppo,,2,20,1,5,1.0,72.0,61.6,33.4,0.4530441666666669
ppo,,2,20,1,6,1.0,6.2,10.6,6.0,0.7312354838709777
ppo,,2,20,1,7,1.0,16.0,19.4,10.8,0.4984387499999965
ppo,,2,20,1,8,1.0,30.6,36.4,19.8,0.4817339869281008
ppo,,2,20,1,9,1.0,31.6,33.6,19.2,0.46561582278481367
ppo,,2,20,1,10,1.0,8.6,6.6,4.8,0.5396883720930225
ppo,,2,20,1,11,1.0,10.4,13.4,7.4,0.5217192307692259
ppo,,2,20,1,12,1.0,36.6,36.0,21.8,0.4586846994535516
ppo,,2,20,1,13,1.0,73.2,73.8,43.4,0.4473765027322383
ppo,,2,20,1,14,1.0,15.0,19.2,13.0,0.4900679999999961
ppo,,2,20,1,15,0.8,90.8,92.2,56.0,0.4436182819383261
ppo,,2,20,1,16,1.0,9.2,14.2,8.0,0.5144934782608632
ppo,,2,20,1,17,1.0,6.8,10.8,6.4,0.5285500000000067
ppo,,2,20,1,18,1.0,6.8,11.0,6.2,0.5556411764706017
ppo,,2,20,1,19,1.0,2.0,2.4,1.4,0.82456999999998
ppo,,2,20,2,0,1.0,20.2,29.4,15.2,0.4756702970297018
ppo,,2,20,2,1,1.0,20.4,31.6,17.2,0.4717696078431417
ppo,,2,20,2,2,1.0,90.2,99.2,58.0,0.4584809312638583
ppo,,2,20,2,3,1.0,19.0,30.0,15.6,0.5063042105263187
ppo,,2,20,2,4,1.0,10.2,16.8,9.8,0.5651647058823583
