method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,5,25,0,9,False,300,336,300,0.8622623333333242
astar,median,5,25,-1,9,True,54,78,24,
astar,component,5,25,-1,9,True,40,160,35,
astar,bbox,5,25,-1,9,True,77,89,24,
ppo,,5,25,0,10,False,300,310,293,0.8064123333333365
astar,median,5,25,-1,10,True,20,33,13,
astar,component,5,25,-1,10,True,14,46,13,
astar,bbox,5,25,-1,10,True,21,51,15,
ppo,,5,25,0,11,False,300,54,22,0.706977333333351
astar,median,5,25,-1,11,True,15,34,13,
astar,component,5,25,-1,11,True,46,61,14,
astar,bbox,5,25,-1,11,True,74,66,15,
ppo,,5,25,0,12,False,300,4,3,0.8116113333333411
astar,median,5,25,-1,12,True,17,61,16,
astar,component,5,25,-1,12,True,30,102,29,
astar,bbox,5,25,-1,12,True,48,98,23,
ppo,,5,25,0,13,False,300,346,300,0.8008043333333129
astar,median,5,25,-1,13,True,21,59,21,
astar,component,5,25,-1,13,True,59,103,26,
astar,bbox,5,25,-1,13,True,19,79,19,
ppo,,5,25,0,14,False,300,594,300,0.8163980000000018
astar,median,5,25,-1,14,True,15,40,15,
astar,component,5,25,-1,14,True,15,47,15,
astar,bbox,5,25,-1,14,True,12,47,12,
ppo,,5,25,0,15,False,300,31,12,0.8063283333333496
astar,median,5,25,-1,15,True,23,59,23,
astar,component,5,25,-1,15,True,33,98,28,
astar,bbox,5,25,-1,15,True,18,72,18,
ppo,,5,25,0,16,False,300,45,20,0.8416496666666736
astar,median,5,25,-1,16,True,24,46,24,
astar,component,5,25,-1,16,True,49,80,27,
astar,bbox,5,25,-1,16,True,18,74,17,
ppo,,5,25,0,17,False,300,30,19,0.757189666666657
astar,median,5,25,-1,17,True,22,54,22,
astar,component,5,25,-1,17,True,24,96,24,
astar,bbox,5,25,-1,17,True,17,63,17,
ppo,,5,25,0,18,False,300,35,13,0.7596693333333349
astar,median,5,25,-1,18,True,23,51,19,
astar,component,5,25,-1,18,True,57,90,22,
astar,bbox,5,25,-1,18,True,18,53,14,
ppo,,5,25,0,19,False,300,65,23,0.7747026666666793
astar,median,5,25,-1,19,True,24,54,24,
astar,component,5,25,-1,19,True,24,86,19,
astar,bbox,5,25,-1,19,True,20,85,20,
ppo,,5,25,1,0,False,300,29,9,0.6761363333333511
ppo,,5,25,1,1,False,300,31,12,0.6127880000000138
ppo,,5,25,1,2,False,300,47,12,0.684172666666664
ppo,,5,25,1,3,False,300,39,18,0.7481010000000055
ppo,,5,25,1,4,False,300,16,4,0.7383136666666701
ppo,,5,25,1,5,False,300,64,22,0.6883753333333212
ppo,,5,25,1,6,False,300,48,16,0.6656826666666641
ppo,,5,25,1,7,False,300,37,11,0.6422213333333341
ppo,,5,25,1,8,False,300,28,16,0.6366796666666611
ppo,,5,25,1,9,False,300,49,17,0.709123999999998
ppo,,5,25,1,10,False,300,29,13,0.7392590000000135
ppo,,5,25,1,11,False,300,325,300,0.6379599999999878
ppo,,5,25,1,12,False,300,44,17,0.7163873333333252
ppo,,5,25,1,13,False,300,69,29,0.6920640000000114
ppo,,5,25,1,14,False,300,27,12,0.7087556666666709
ppo,,5,25,1,15,False,300,333,298,0.695342666666671
ppo,,5,25,1,16,False,300,41,15,0.6881440000000083
ppo,,5,25,1,17,False,300,35,9,0.6660433333333534
ppo,,5,25,1,18,False,300,38,16,0.6629326666666676
ppo,,5,25,1,19,False,300,50,19,0.6750706666666891
