level,seed,method,success,steps,total_distance,n_valid_squares,obstacle_cells
large,20011,frontier,1.0,14.0,53.0,152,44
large,20012,ppo,0.6666666666666666,172.11111111111111,276.44444444444446,151,57
large,20012,frontier,1.0,10.0,36.0,151,57
large,20013,ppo,1.0,96.88888888888889,161.66666666666666,152,41
large,20013,frontier,1.0,17.0,67.0,152,41
large,20014,ppo,0.7777777777777778,160.77777777777777,270.1111111111111,107,54
large,20014,frontier,1.0,23.0,74.0,107,54
large,20015,ppo,1.0,41.44444444444444,91.44444444444444,140,45
large,20015,frontier,1.0,12.0,48.0,140,45
large,20016,ppo,0.6666666666666666,229.0,398.44444444444446,109,43
large,20016,frontier,0.0,300.0,84.0,109,43
large,20017,ppo,1.0,21.444444444444443,51.888888888888886,136,52
large,20017,frontier,1.0,5.0,17.0,136,52
large,20018,ppo,0.5555555555555556,250.77777777777777,376.1111111111111,123,58
large,20018,frontier,0.0,300.0,124.0,123,58
large,20019,ppo,1.0,53.666666666666664,117.22222222222223,137,49
large,20019,frontier,1.0,12.0,46.0,137,49
dense,20000,ppo,1.0,20.77777777777778,48.77777777777778,82,113
dense,20000,frontier,1.0,5.0,18.0,82,113
dense,20001,ppo,1.0,87.33333333333333,140.22222222222223,60,95
dense,20001,frontier,0.0,300.0,103.0,60,95
dense,20002,ppo,0.2222222222222222,280.1111111111111,390.1111111111111,71,125
dense,20002,frontier,0.0,300.0,26.0,71,125
dense,20003,ppo,0.7777777777777778,107.55555555555556,159.11111111111111,64,97
dense,20003,frontier,1.0,9.0,35.0,64,97
dense,20004,ppo,0.0,300.0,441.0,81,124
dense,20004,frontier,0.0,300.0,83.0,81,124
dense,20005,ppo,1.0,30.77777777777778,70.77777777777777,55,103
dense,20005,frontier,1.0,7.0,24.0,55,103
dense,20006,ppo,0.8888888888888888,105.11111111111111,164.0,83,109
dense,20006,frontier,0.0,300.0,40.0,83,109
dense,20007,ppo,0.3333333333333333,227.77777777777777,322.0,57,121
dense,20007,frontier,1.0,17.0,59.0,57,121
dense,20008,ppo,0.7777777777777778,196.33333333333334,372.8888888888889,58,104
dense,20008,frontier,0.0,300.0,39.0,58,104
dense,20009,ppo,0.1111111111111111,278.8888888888889,339.1111111111111,74,121
dense,20009,frontier,0.0,300.0,43.0,74,121
dense,20010,ppo,1.0,85.77777777777777,143.0,38,118
dense,20010,frontier,0.0,300.0,26.0,38,118
dense,20011,ppo,0.0,300.0,389.8888888888889,44,117
dense,20011,frontier,0.0,300.0,70.0,44,117
dense,20012,ppo,0.4444444444444444,233.44444444444446,386.8888888888889,81,105
dense,20012,frontier,1.0,12.0,46.0,81,105
dense,20013,ppo,0.2222222222222222,281.8888888888889,302.22222222222223,90,108
dense,20013,frontier,0.0,300.0,108.0,90,108
dense,20014,ppo,0.2222222222222222,270.55555555555554,371.8888888888889,53,123
dense,20014,frontier,0.0,300.0,46.0,53,123
dense,20015,ppo,0.8888888888888888,85.66666666666667,153.77777777777777,50,109
dense,20015,frontier,1.0,4.0,16.0,50,109
dense,20016,ppo,0.0,300.0,339.55555555555554,31,127
dense,20016,frontier,0.0,300.0,37.0,31,127
dense,20017,ppo,0.3333333333333333,252.66666666666666,358.8888888888889,46,98
dense,20017,frontier,1.0,44.0,125.0,46,98
dense,20018,ppo,0.0,300.0,348.22222222222223,40,116
dense,20018,frontier,0.0,300.0,161.0,40,116
dense,20019,ppo,0.0,300.0,278.0,37,130
dense,20019,frontier,0.0,300.0,32.0,37,130
