method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances,wall_ms_per_step
astar,bbox,2,20,-1,12,True,False,9,14,9,0.9245283018867925,4,0,"[9, 5]",
astar,minimax,2,20,-1,12,True,False,39,25,16,0.9272997032640949,13,0,"[16, 9]",
ppo,,2,20,0,13,0.0,0.0,300.0,14.0,7.0,1.0,586.0,0.0,"[7.0, 7.0]",0.3682356666666668
astar,median,2,20,-1,13,True,False,13,24,13,0.993103448275862,2,0,"[11, 13]",
astar,component,2,20,-1,13,True,False,41,54,31,0.978523489932886,7,0,"[31, 23]",
astar,bbox,2,20,-1,13,True,False,13,24,13,0.993103448275862,2,0,"[11, 13]",
astar,minimax,2,20,-1,13,True,True,13,26,13,1.0,0,0,"[13, 13]",
ppo,,2,20,0,14,1.0,0.0,11.0,14.0,11.0,0.7538461538461538,8.0,0.0,"[3.0, 11.0]",0.4126181818181978
astar,median,2,20,-1,14,True,True,7,14,7,1.0,0,0,"[7, 7]",
astar,component,2,20,-1,14,True,True,22,32,17,0.9961089494163424,0,0,"[17, 15]",
astar,bbox,2,20,-1,14,True,True,7,14,7,1.0,0,0,"[7, 7]",
astar,minimax,2,20,-1,14,True,True,8,16,8,1.0,0,0,"[8, 8]",
ppo,,2,20,0,15,0.0,0.0,300.0,1.0,1.0,0.5,599.0,0.0,"[1.0, 0.0]",0.3535353333333324
astar,median,2,20,-1,15,True,False,11,18,11,0.9529411764705882,4,0,"[7, 11]",
astar,component,2,20,-1,15,True,False,27,31,17,0.9907216494845361,4,0,"[14, 17]",
astar,bbox,2,20,-1,15,True,False,11,18,11,0.9529411764705882,4,0,"[7, 11]",
astar,minimax,2,20,-1,15,True,False,12,20,12,0.9615384615384616,4,0,"[8, 12]",
ppo,,2,20,0,16,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.5855000000000166
astar,median,2,20,-1,16,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,component,2,20,-1,16,True,True,8,10,7,0.8620689655172413,0,0,"[3, 7]",
astar,bbox,2,20,-1,16,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,minimax,2,20,-1,16,True,True,4,8,4,1.0,0,0,"[4, 4]",
ppo,,2,20,0,17,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.4717749999999521
astar,median,2,20,-1,17,True,True,5,10,5,1.0,0,0,"[5, 5]",
astar,component,2,20,-1,17,True,True,12,16,9,0.9846153846153847,0,0,"[7, 9]",
astar,bbox,2,20,-1,17,True,True,5,10,5,1.0,0,0,"[5, 5]",
astar,minimax,2,20,-1,17,True,True,6,12,6,1.0,0,0,"[6, 6]",
ppo,,2,20,0,18,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.5313249999999714
astar,median,2,20,-1,18,True,True,4,8,4,1.0,0,0,"[4, 4]",
astar,component,2,20,-1,18,True,True,12,16,9,0.9846153846153847,0,0,"[7, 9]",
astar,bbox,2,20,-1,18,True,True,4,8,4,1.0,0,0,"[4, 4]",
astar,minimax,2,20,-1,18,True,True,5,10,5,1.0,0,0,"[5, 5]",
ppo,,2,20,0,19,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,"[1.0, 1.0]",0.8953999999996576
astar,median,2,20,-1,19,True,True,1,2,1,1.0,0,0,"[1, 1]",
astar,component,2,20,-1,19,True,True,1,1,1,0.5,0,0,"[0, 1]",
astar,bbox,2,20,-1,19,True,True,1,2,1,1.0,0,0,"[1, 1]",
astar,minimax,2,20,-1,19,True,True,1,2,1,1.0,0,0,"[1, 1]",
ppo,,2,20,1,0,0.0,0.0,300.0,16.0,8.0,1.0,292.0,0.0,"[8.0, 8.0]",0.37858433333333313
ppo,,2,20,1,1,0.0,0.0,300.0,22.0,13.0,0.968,578.0,0.0,"[9.0, 13.0]",0.3905033333333326
ppo,,2,20,1,2,0.0,0.0,300.0,10.0,7.0,0.8620689655172413,590.0,0.0,"[7.0, 3.0]",0.36768633333333395
ppo,,2,20,1,3,1.0,1.0,9.0,18.0,9.0,1.0,0.0,0.0,"[9.0, 9.0]",0.4641999999999887
ppo,,2,20,1,4,1.0,1.0,7.0,14.0,7.0,1.0,0.0,0.0,"[7.0, 7.0]",0.5393571428571013
ppo,,2,20,1,5,0.0,0.0,300.0,14.0,7.0,1.0,293.0,0.0,"[7.0, 7.0]",0.36757500000000076
ppo,,2,20,1,6,1.0,1.0,3.0,6.0,3.0,1.0,0.0,0.0,"[3.0, 3.0]",0.8456666666667445
ppo,,2,20,1,7,1.0,0.0,5.0,7.0,5.0,0.8448275862068966,3.0,0.0,"[5.0, 2.0]",0.5972399999999212
ppo,,2,20,1,8,0.0,0.0,300.0,6.0,4.0,0.9,594.0,0.0,"[4.0, 2.0]",0.35990433333333327
ppo,,2,20,1,9,0.0,0.0,300.0,9.0,9.0,0.5,300.0,0.0,"[9.0, 0.0]",0.38011699999999904
ppo,,2,20,1,10,1.0,1.0,3.0,4.0,3.0,0.8,0.0,0.0,"[3.0, 1.0]",0.571033333333304
ppo,,2,20,1,11,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.5364499999997996
ppo,,2,20,1,12,0.0,0.0,300.0,12.0,11.0,0.5901639344262295,7.0,0.0,"[11.0, 1.0]",0.38933866666666833
ppo,,2,20,1,13,1.0,1.0,11.0,22.0,11.0,1.0,0.0,0.0,"[11.0, 11.0]",0.5397454545454523
ppo,,2,20,1,14,0.0,0.0,300.0,15.0,15.0,0.5,13.0,0.0,"[0.0, 15.0]",0.37238233333333426
ppo,,2,20,1,15,0.0,0.0,300.0,1.0,1.0,0.5,599.0,0.0,"[1.0, 0.0]",0.3646539999999998
ppo,,2,20,1,16,1.0,1.0,3.0,6.0,3.0,1.0,0.0,0.0,"[3.0, 3.0]",0.6877666666665524
ppo,,2,20,1,17,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.5709250000001109
ppo,,2,20,1,18,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.549350000000004
ppo,,2,20,1,19,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,"[1.0, 1.0]",1.128000000000462
ppo,,2,20,2,0,1.0,1.0,8.0,16.0,8.0,1.0,0.0,0.0,"[8.0, 8.0]",0.5391750000000028
ppo,,2,20,2,1,1.0,1.0,10.0,20.0,10.0,1.0,0.0,0.0,"[10.0, 10.0]",0.43410000000001503
ppo,,2,20,2,2,0.0,0.0,300.0,4.0,3.0,0.8,596.0,0.0,"[1.0, 3.0]",0.36225566666666725
ppo,,2,20,2,3,1.0,1.0,8.0,16.0,8.0,1.0,0.0,0.0,"[8.0, 8.0]",0.473087499999969
ppo,,2,20,2,4,1.0,1.0,7.0,14.0,7.0,1.0,0.0,0.0,"[7.0, 7.0]",0.4908714285714361
ppo,,2,20,2,5,0.0,0.0,300.0,12.0,7.0,0.972972972972973,294.0,0.0,"[5.0, 7.0]",0.3726946666666672
ppo,,2,20,2,6,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,"[4.0, 4.0]",0.8495749999999358
