method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances,wall_ms_per_step
astar,bbox,3,20,-1,19,True,True,45,33,13,0.9628647214854111,0,80,"[12, 13, 8]",
astar,minimax,3,20,-1,19,True,True,33,36,13,0.9863013698630136,0,10,"[13, 13, 10]",
ppo,,3,20,1,0,0.0,0.0,300.0,20.0,9.0,0.8032128514056225,291.0,0.0,"[9.0, 9.0, 2.0]",0.41853433333333356
ppo,,3,20,1,1,0.0,0.0,300.0,16.0,7.0,0.9481481481481482,296.0,0.0,"[4.0, 5.0, 7.0]",0.39186833333333243
ppo,,3,20,1,2,0.0,0.0,300.0,8.0,3.0,0.9696969696969697,596.0,296.0,"[2.0, 3.0, 3.0]",0.401791333333333
ppo,,3,20,1,3,0.0,0.0,300.0,21.0,15.0,0.6,303.0,0.0,"[15.0, 2.0, 4.0]",0.40740399999999494
ppo,,3,20,1,4,0.0,0.0,300.0,18.0,6.0,1.0,588.0,0.0,"[6.0, 6.0, 6.0]",0.39400699999999844
ppo,,3,20,1,5,0.0,0.0,300.0,20.0,8.0,0.9803921568627451,880.0,0.0,"[6.0, 8.0, 6.0]",0.40734366666666705
ppo,,3,20,1,6,0.0,0.0,300.0,23.0,11.0,0.7837037037037037,588.0,0.0,"[11.0, 10.0, 2.0]",0.3999723333333331
ppo,,3,20,1,7,0.0,0.0,300.0,20.0,10.0,0.7936507936507936,300.0,0.0,"[10.0, 2.0, 8.0]",0.398539333333332
ppo,,3,20,1,8,0.0,0.0,300.0,8.0,4.0,0.8888888888888888,892.0,0.0,"[2.0, 2.0, 4.0]",0.3995620000000007
ppo,,3,20,1,9,0.0,0.0,300.0,7.0,4.0,0.6533333333333333,1.0,296.0,"[3.0, 4.0, 0.0]",0.4037873333333349
ppo,,3,20,1,10,0.0,0.0,300.0,15.0,8.0,0.8064516129032258,0.0,0.0,"[2.0, 8.0, 5.0]",0.3888289999999965
ppo,,3,20,1,11,1.0,1.0,5.0,10.0,5.0,0.6666666666666666,0.0,0.0,"[5.0, 5.0, 0.0]",0.5236399999997587
ppo,,3,20,1,12,0.0,0.0,300.0,21.0,12.0,0.7461928934010152,300.0,288.0,"[12.0, 7.0, 2.0]",0.4347916666666644
ppo,,3,20,1,13,0.0,0.0,300.0,16.0,10.0,0.6274509803921569,584.0,0.0,"[10.0, 6.0, 0.0]",0.4678446666666681
ppo,,3,20,1,14,0.0,0.0,300.0,28.0,11.0,0.9679012345679012,581.0,0.0,"[7.0, 10.0, 11.0]",0.43563066666666356
ppo,,3,20,1,15,0.0,0.0,300.0,1.0,1.0,0.3333333333333333,600.0,0.0,"[0.0, 0.0, 1.0]",0.41723166666666717
ppo,,3,20,1,16,1.0,1.0,9.0,11.0,9.0,0.4745098039215686,0.0,0.0,"[2.0, 9.0, 0.0]",0.4741444444444909
ppo,,3,20,1,17,1.0,1.0,5.0,13.0,5.0,0.9548022598870056,0.0,0.0,"[5.0, 5.0, 3.0]",0.5258200000000102
ppo,,3,20,1,18,0.0,0.0,300.0,14.0,10.0,0.6049382716049383,588.0,0.0,"[2.0, 2.0, 10.0]",0.4152763333333335
ppo,,3,20,1,19,0.0,0.0,300.0,25.0,12.0,0.894134477825465,0.0,292.0,"[12.0, 8.0, 5.0]",0.4139303333333307
ppo,,3,20,2,0,0.0,0.0,300.0,18.0,8.0,0.8852459016393442,0.0,0.0,"[7.0, 8.0, 3.0]",0.41540500000000574
ppo,,3,20,2,1,0.0,0.0,300.0,19.0,9.0,0.9047619047619048,587.0,0.0,"[4.0, 9.0, 6.0]",0.4098796666666675
ppo,,3,20,2,2,0.0,0.0,300.0,10.0,4.0,0.9803921568627451,299.0,0.0,"[3.0, 4.0, 3.0]",0.4123323333333377
ppo,,3,20,2,3,0.0,0.0,300.0,15.0,8.0,0.8064516129032258,295.0,0.0,"[8.0, 2.0, 5.0]",0.4219136666666697
ppo,,3,20,2,4,0.0,0.0,300.0,16.0,6.0,0.9922480620155039,294.0,0.0,"[5.0, 5.0, 6.0]",0.4188610000000044
ppo,,3,20,2,5,0.0,0.0,300.0,19.0,7.0,0.9944903581267218,587.0,0.0,"[6.0, 7.0, 6.0]",0.4147349999999979
ppo,,3,20,2,6,0.0,0.0,300.0,24.0,12.0,0.7741935483870968,588.0,0.0,"[12.0, 10.0, 2.0]",0.40494066666666956
ppo,,3,20,2,7,0.0,0.0,300.0,3.0,3.0,0.3333333333333333,1.0,0.0,"[3.0, 0.0, 0.0]",0.4111983333333373
ppo,,3,20,2,8,0.0,0.0,300.0,11.0,5.0,0.8962962962962963,299.0,0.0,"[2.0, 5.0, 4.0]",0.4034263333333321
ppo,,3,20,2,9,0.0,0.0,300.0,11.0,5.0,0.7908496732026143,4.0,0.0,"[5.0, 5.0, 1.0]",0.41768999999999795
ppo,,3,20,2,10,1.0,1.0,7.0,15.0,7.0,0.7575757575757576,0.0,0.0,"[1.0, 7.0, 7.0]",0.5004714285714584
ppo,,3,20,2,11,1.0,1.0,5.0,10.0,5.0,0.6666666666666666,0.0,0.0,"[5.0, 5.0, 0.0]",0.4729599999997447
ppo,,3,20,2,12,0.0,0.0,300.0,21.0,12.0,0.7461928934010152,297.0,288.0,"[12.0, 7.0, 2.0]",0.42442366666666825
ppo,,3,20,2,13,0.0,0.0,300.0,13.0,7.0,0.6627450980392157,887.0,0.0,"[7.0, 6.0, 0.0]",0.4120826666666666
ppo,,3,20,2,14,0.0,0.0,300.0,26.0,12.0,0.9234972677595629,579.0,0.0,"[8.0, 6.0, 12.0]",0.4240819999999997
ppo,,3,20,2,15,0.0,0.0,300.0,300.0,300.0,0.3333333333333333,600.0,0.0,"[0.0, 0.0, 300.0]",0.4104189999999974
ppo,,3,20,2,16,1.0,1.0,10.0,12.0,10.0,0.46153846153846156,0.0,0.0,"[0.0, 10.0, 2.0]",0.4573200000001165
ppo,,3,20,2,17,1.0,1.0,5.0,12.0,5.0,0.8888888888888888,0.0,0.0,"[5.0, 5.0, 2.0]",0.4959199999998276
ppo,,3,20,2,18,0.0,0.0,300.0,15.0,10.0,0.6637168141592921,588.0,0.0,"[3.0, 2.0, 10.0]",0.41483233333333186
ppo,,3,20,2,19,0.0,0.0,300.0,32.0,13.0,0.9642184557438794,2.0,289.0,"[13.0, 11.0, 8.0]",0.43331333333333316
ppo,,4,20,0,0,0.0,0.0,300.0,28.0,11.0,0.7368421052631579,292.0,289.0,"[9.0, 11.0, 8.0, 0.0]",0.46224833333332904
astar,median,4,20,-1,0,True,False,91,51,25,0.7623094958968347,9,68,"[8, 8, 25, 10]",
astar,component,4,20,-1,0,True,True,61,50,20,0.8852691218130312,0,67,"[9, 9, 20, 12]",
astar,bbox,4,20,-1,0,True,True,33,32,10,0.9624060150375939,0,87,"[7, 9, 10, 6]",
astar,minimax,4,20,-1,0,True,False,63,34,10,0.9897260273972602,11,136,"[8, 8, 10, 8]",
ppo,,4,20,0,1,0.0,0.0,300.0,29.0,13.0,0.8180933852140078,296.0,0.0,"[6.0, 6.0, 4.0, 13.0]",0.4549700000000041
astar,median,4,20,-1,1,True,False,20,38,20,0.5486322188449848,4,0,"[1, 1, 16, 20]",
astar,component,4,20,-1,1,True,False,20,58,18,0.9688940092165899,1,0,"[12, 12, 16, 18]",
astar,bbox,4,20,-1,1,True,False,12,35,12,0.9540498442367601,1,12,"[8, 8, 7, 12]",
astar,minimax,4,20,-1,1,True,False,63,47,13,0.9914721723518851,1,91,"[12, 12, 10, 13]",
ppo,,4,20,0,2,0.0,0.0,300.0,7.0,3.0,0.7205882352941176,297.0,0.0,"[2.0, 2.0, 0.0, 3.0]",0.44750766666666664
astar,median,4,20,-1,2,True,False,14,17,12,0.4722222222222222,2,0,"[2, 2, 1, 12]",
astar,component,4,20,-1,2,True,False,14,17,12,0.4722222222222222,2,0,"[2, 1, 2, 12]",
astar,bbox,4,20,-1,2,True,False,38,31,12,0.8429824561403508,2,101,"[4, 5, 10, 12]",
astar,minimax,4,20,-1,2,True,False,14,23,11,0.7733918128654971,5,26,"[5, 4, 3, 11]",
ppo,,4,20,0,3,0.0,0.0,300.0,25.0,10.0,0.8632596685082873,879.0,0.0,"[4.0, 7.0, 4.0, 10.0]",0.4448583333333348
astar,median,4,20,-1,3,True,False,18,35,12,0.8299457994579946,7,0,"[2, 12, 10, 11]",
astar,component,4,20,-1,3,True,False,87,107,30,0.9832531776021985,15,71,"[21, 30, 29, 27]",
astar,bbox,4,20,-1,3,True,False,92,62,20,0.9707070707070707,5,158,"[13, 20, 14, 15]",
astar,minimax,4,20,-1,3,True,False,62,51,15,0.935611510791367,12,56,"[7, 15, 15, 14]",
ppo,,4,20,0,4,0.0,0.0,300.0,25.0,15.0,0.6032818532818532,293.0,0.0,"[4.0, 3.0, 3.0, 15.0]",0.4487659999999967
astar,median,4,20,-1,4,True,False,69,44,17,0.8673835125448028,7,139,"[10, 12, 5, 17]",
astar,component,4,20,-1,4,True,False,18,55,15,0.9963768115942029,7,5,"[13, 14, 15, 13]",
astar,bbox,4,20,-1,4,True,False,32,50,16,0.9704968944099379,11,47,"[12, 10, 12, 16]",
astar,minimax,4,20,-1,4,True,True,52,36,12,0.9257142857142857,0,61,"[11, 7, 6, 12]",
ppo,,4,20,0,5,0.0,0.0,300.0,14.0,7.0,0.5697674418604651,886.0,0.0,"[0.0, 1.0, 7.0, 6.0]",0.4508180000000018
astar,median,4,20,-1,5,True,False,15,32,12,0.8366013071895425,7,0,"[4, 5, 12, 11]",
astar,component,4,20,-1,5,True,False,102,81,22,0.9959016393442623,15,128,"[21, 19, 19, 22]",
astar,bbox,4,20,-1,5,True,False,16,38,13,0.9352331606217616,9,0,"[6, 9, 13, 10]",
astar,minimax,4,20,-1,5,True,False,16,32,13,0.8258064516129032,9,0,"[5, 4, 13, 10]",
ppo,,4,20,0,6,0.0,0.0,300.0,36.0,13.0,0.9050279329608939,8.0,0.0,"[8.0, 10.0, 5.0, 13.0]",0.453680666666667
astar,median,4,20,-1,6,True,False,19,46,13,0.9906367041198502,7,16,"[10, 11, 12, 13]",
astar,component,4,20,-1,6,True,False,30,78,21,0.9889466840052016,4,0,"[20, 21, 16, 21]",
astar,bbox,4,20,-1,6,True,False,17,54,17,0.9617414248021108,7,0,"[12, 15, 10, 17]",
astar,minimax,4,20,-1,6,True,False,17,48,15,0.9696969696969697,7,2,"[10, 13, 10, 15]",
ppo,,4,20,0,7,0.0,0.0,300.0,11.0,7.0,0.5127118644067796,593.0,0.0,"[7.0, 1.0, 3.0, 0.0]",0.4514066666666671
astar,median,4,20,-1,7,True,True,42,27,12,0.7689873417721519,0,13,"[12, 5, 8, 2]",
astar,component,4,20,-1,7,True,True,12,25,11,0.8012820512820513,0,15,"[11, 3, 7, 4]",
astar,bbox,4,20,-1,7,True,False,69,43,13,0.9570393374741201,4,105,"[9, 13, 13, 8]",
astar,minimax,4,20,-1,7,True,False,134,42,12,0.9887892376681614,3,182,"[12, 10, 11, 9]",
ppo,,4,20,0,8,0.0,0.0,300.0,23.0,13.0,0.6208920187793427,5.0,287.0,"[2.0, 6.0, 13.0, 2.0]",0.46057433333333603
astar,median,4,20,-1,8,True,True,55,29,13,0.6549844236760125,0,123,"[2, 12, 13, 2]",
astar,component,4,20,-1,8,True,False,28,46,16,0.921602787456446,7,54,"[16, 7, 10, 13]",
astar,bbox,4,20,-1,8,True,False,12,28,9,0.9245283018867925,3,12,"[5, 9, 9, 5]",
astar,minimax,4,20,-1,8,True,False,24,27,11,0.7147058823529412,4,63,"[2, 11, 11, 3]",
ppo,,4,20,0,9,1.0,1.0,7.0,21.0,7.0,0.9264705882352942,0.0,0.0,"[3.0, 5.0, 7.0, 6.0]",0.5775571428571372
astar,median,4,20,-1,9,True,True,30,26,9,0.898936170212766,0,56,"[3, 9, 7, 7]",
astar,component,4,20,-1,9,True,False,23,32,11,0.9552238805970149,4,43,"[11, 7, 7, 7]",
astar,bbox,4,20,-1,9,True,True,8,26,8,0.9388888888888889,0,0,"[4, 8, 8, 6]",
astar,minimax,4,20,-1,9,True,True,8,22,8,0.9166666666666666,0,2,"[4, 6, 8, 4]",
ppo,,4,20,0,10,0.0,0.0,300.0,14.0,10.0,0.46226415094339623,587.0,290.0,"[2.0, 1.0, 1.0, 10.0]",0.4581366666666635
astar,median,4,20,-1,10,True,True,6,18,6,0.75,0,0,"[0, 6, 6, 6]",
astar,component,4,20,-1,10,True,False,32,44,22,0.7181008902077152,14,5,"[9, 3, 10, 22]",
astar,bbox,4,20,-1,10,True,True,12,30,12,0.8093525179856115,0,15,"[2, 7, 12, 9]",
astar,minimax,4,20,-1,10,True,True,6,19,6,0.8279816513761468,0,0,"[1, 6, 6, 6]",
ppo,,4,20,0,11,1.0,0.0,13.0,33.0,11.0,0.9486062717770035,8.0,0.0,"[9.0, 11.0, 7.0, 6.0]",0.5500769230769501
astar,median,4,20,-1,11,True,True,11,23,11,0.6782051282051282,0,16,"[0, 11, 5, 7]",
astar,component,4,20,-1,11,True,True,11,34,10,0.9633333333333334,0,1,"[10, 10, 6, 8]",
astar,bbox,4,20,-1,11,True,True,205,94,41,0.6771919068056407,0,433,"[4, 11, 41, 38]",
astar,minimax,4,20,-1,11,True,False,61,34,11,0.956953642384106,3,71,"[8, 11, 9, 6]",
ppo,,4,20,0,12,0.0,0.0,300.0,20.0,11.0,0.6756756756756757,6.0,289.0,"[11.0, 3.0, 3.0, 3.0]",0.4648413333333383
astar,median,4,20,-1,12,True,False,34,34,12,0.8865030674846626,2,0,"[11, 6, 12, 5]",
astar,component,4,20,-1,12,True,False,18,39,13,0.9530075187969925,9,6,"[7, 9, 13, 10]",
astar,bbox,4,20,-1,12,True,False,104,56,18,0.9514563106796117,3,177,"[18, 10, 12, 16]",
astar,minimax,4,20,-1,12,True,False,17,34,11,0.9444444444444444,5,23,"[10, 6, 11, 7]",
ppo,,4,20,0,13,0.0,0.0,300.0,8.0,3.0,0.8,893.0,0.0,"[1.0, 3.0, 1.0, 3.0]",0.451066666666667
astar,median,4,20,-1,13,False,False,300,121,66,0.6217513164599966,21,514,"[37, 9, 9, 66]",
astar,component,4,20,-1,13,True,False,150,222,68,0.9795674988074415,18,147,"[48, 49, 57, 68]",
astar,bbox,4,20,-1,13,True,False,190,82,30,0.8970117395944504,13,478,"[23, 18, 11, 30]",
astar,minimax,4,20,-1,13,False,False,300,117,55,0.6492601024473534,13,611,"[46, 9, 7, 55]",
ppo,,4,20,0,14,0.0,0.0,300.0,31.0,13.0,0.7531347962382445,587.0,0.0,"[7.0, 10.0, 1.0, 13.0]",0.45211600000000013
astar,median,4,20,-1,14,True,False,12,34,10,0.9444444444444444,7,3,"[9, 10, 5, 10]",
astar,component,4,20,-1,14,True,False,29,88,23,0.9989680082559339,4,0,"[23, 22, 21, 22]",
astar,bbox,4,20,-1,14,True,False,24,44,11,1.0,3,11,"[11, 11, 11, 11]",
astar,minimax,4,20,-1,14,True,False,12,38,12,0.916243654822335,7,3,"[9, 12, 5, 12]",
ppo,,4,20,0,15,0.0,0.0,300.0,42.0,19.0,0.7,588.0,0.0,"[10.0, 13.0, 0.0, 19.0]",0.4536153333333341
astar,median,4,20,-1,15,True,False,16,31,12,0.7392307692307692,8,0,"[1, 6, 12, 12]",
astar,component,4,20,-1,15,True,False,20,54,17,0.9370179948586118,4,0,"[8, 13, 17, 16]",
astar,bbox,4,20,-1,15,True,False,16,52,16,0.9575070821529745,4,1,"[9, 16, 12, 15]",
astar,minimax,4,20,-1,15,True,False,14,36,11,0.9364161849710982,7,0,"[5, 10, 10, 11]",
ppo,,4,20,0,16,1.0,1.0,9.0,13.0,9.0,0.4642857142857143,0.0,7.0,"[0.0, 3.0, 9.0, 1.0]",0.5300333333331982
astar,median,4,20,-1,16,True,True,4,14,4,0.9423076923076923,0,0,"[4, 2, 4, 4]",
astar,component,4,20,-1,16,True,True,8,22,8,0.8768115942028986,0,8,"[7, 3, 4, 8]",
astar,bbox,4,20,-1,16,True,True,4,14,4,0.9423076923076923,0,0,"[4, 2, 4, 4]",
astar,minimax,4,20,-1,16,True,True,5,15,5,0.9533898305084746,0,1,"[3, 3, 5, 4]",
ppo,,4,20,0,17,0.0,0.0,300.0,11.0,3.0,0.9758064516129032,298.0,594.0,"[3.0, 3.0, 2.0, 3.0]",0.4565553333333306
astar,median,4,20,-1,17,True,False,38,43,32,0.4268236380424746,6,0,"[1, 7, 32, 3]",
astar,component,4,20,-1,17,True,True,22,57,22,0.8995016611295681,0,8,"[13, 9, 22, 13]",
astar,bbox,4,20,-1,17,True,False,13,46,13,0.9796296296296296,2,0,"[11, 9, 13, 13]",
astar,minimax,4,20,-1,17,True,False,152,74,23,0.9586834733893558,17,193,"[17, 23, 21, 13]",
ppo,,4,20,0,18,0.0,0.0,300.0,15.0,10.0,0.497787610619469,588.0,0.0,"[3.0, 10.0, 2.0, 0.0]",0.4561673333333319
astar,median,4,20,-1,18,True,True,45,32,15,0.7398843930635838,0,51,"[6, 15, 9, 2]",
astar,component,4,20,-1,18,True,True,88,53,17,0.9502706359945873,0,169,"[9, 15, 17, 12]",
astar,bbox,4,20,-1,18,True,True,135,64,21,0.9660377358490566,0,279,"[13, 15, 21, 15]",
astar,minimax,4,20,-1,18,True,False,73,36,13,0.9364161849710982,3,148,"[7, 13, 8, 8]",
ppo,,4,20,0,19,0.0,0.0,300.0,320.0,300.0,0.2839837596787434,296.0,0.0,"[9.0, 300.0, 4.0, 7.0]",0.44577766666666463
astar,median,4,20,-1,19,True,False,67,58,17,0.9870892018779343,2,117,"[13, 15, 17, 13]",
astar,component,4,20,-1,19,True,False,160,204,53,0.9984644913627639,1,187,"[49, 49, 53, 53]",
astar,bbox,4,20,-1,19,True,False,47,64,17,0.9941747572815534,1,30,"[14, 17, 17, 16]",
astar,minimax,4,20,-1,19,True,True,65,52,15,0.9883040935672515,0,104,"[13, 13, 15, 11]",
ppo,,4,20,1,0,0.0,0.0,300.0,13.0,8.0,0.5487012987012987,292.0,4.0,"[2.0, 0.0, 8.0, 3.0]",0.4586133333333346
ppo,,4,20,1,1,0.0,0.0,300.0,22.0,14.0,0.55,582.0,298.0,"[2.0, 2.0, 4.0, 14.0]",0.453685333333335
ppo,,4,20,1,2,0.0,0.0,300.0,6.0,3.0,0.5,297.0,297.0,"[3.0, 0.0, 0.0, 3.0]",0.4596876666666638
ppo,,4,20,1,3,0.0,0.0,300.0,21.0,10.0,0.6681818181818182,879.0,0.0,"[0.0, 7.0, 4.0, 10.0]",0.4508260000000005
ppo,,4,20,1,4,0.0,0.0,300.0,28.0,13.0,0.7313432835820896,299.0,293.0,"[7.0, 1.0, 7.0, 13.0]",0.4537733333333331
ppo,,4,20,1,5,0.0,0.0,300.0,16.0,7.0,0.7619047619047619,588.0,0.0,"[1.0, 3.0, 7.0, 5.0]",0.4454813333333263
ppo,,4,20,1,6,0.0,0.0,300.0,19.0,8.0,0.7847826086956522,591.0,0.0,"[5.0, 5.0, 1.0, 8.0]",0.4484300000000019
ppo,,4,20,1,7,0.0,0.0,300.0,10.0,7.0,0.46296296296296297,598.0,0.0,"[7.0, 1.0, 2.0, 0.0]",0.4575549999999969
ppo,,4,20,1,8,0.0,0.0,300.0,21.0,9.0,0.8166666666666667,294.0,0.0,"[2.0, 5.0, 9.0, 5.0]",0.4442286666666699
ppo,,4,20,1,9,1.0,1.0,12.0,28.0,12.0,0.8235294117647058,0.0,0.0,"[6.0, 3.0, 12.0, 7.0]",0.4921666666666269
ppo,,4,20,1,10,0.0,0.0,300.0,12.0,8.0,0.4864864864864865,299.0,292.0,"[0.0, 1.0, 3.0, 8.0]",0.44021400000000693
ppo,,4,20,1,11,1.0,1.0,9.0,23.0,9.0,0.853225806451613,0.0,0.0,"[4.0, 7.0, 9.0, 3.0]",0.5101222222221067
ppo,,4,20,1,12,0.0,0.0,300.0,16.0,9.0,0.64,293.0,0.0,"[9.0, 1.0, 3.0, 3.0]",0.44590933333333044
ppo,,4,20,1,13,0.0,0.0,300.0,15.0,7.0,0.677710843373494,592.0,0.0,"[7.0, 5.0, 0.0, 3.0]",0.4452646666666619
ppo,,4,20,1,14,0.0,0.0,300.0,47.0,14.0,0.944017094017094,293.0,0.0,"[7.0, 12.0, 14.0, 14.0]",0.4493786666666703
ppo,,4,20,1,15,0.0,0.0,300.0,38.0,17.0,0.6915708812260536,593.0,282.0,"[8.0, 13.0, 0.0, 17.0]",0.4481939999999914
ppo,,4,20,1,16,0.0,0.0,300.0,9.0,6.0,0.45,0.0,0.0,"[0.0, 3.0, 6.0, 0.0]",0.447457
ppo,,4,20,1,17,0.0,0.0,300.0,305.0,300.0,0.2583769400837694,298.0,0.0,"[2.0, 1.0, 2.0, 300.0]",0.45005266666667154
ppo,,4,20,1,18,0.0,0.0,300.0,25.0,10.0,0.8095854922279793,301.0,287.0,"[8.0, 10.0, 5.0, 2.0]",0.4511833333333352
ppo,,4,20,1,19,0.0,0.0,300.0,24.0,8.0,0.935064935064935,883.0,0.0,"[8.0, 7.0, 4.0, 5.0]",0.45161499999998966
ppo,,4,20,2,0,0.0,0.0,300.0,16.0,8.0,0.6153846153846154,292.0,0.0,"[2.0, 0.0, 8.0, 6.0]",0.4532746666666654
ppo,,4,20,2,1,0.0,0.0,300.0,36.0,14.0,0.8617021276595744,582.0,1.0,"[8.0, 10.0, 4.0, 14.0]",0.4597436666666728
ppo,,4,20,2,2,0.0,0.0,300.0,18.0,7.0,0.826530612244898,588.0,6.0,"[7.0, 6.0, 2.0, 3.0]",0.4612029999999952
ppo,,4,20,2,3,0.0,0.0,300.0,18.0,7.0,0.7105263157894737,589.0,0.0,"[0.0, 7.0, 4.0, 7.0]",0.45530000000000587
ppo,,4,20,2,4,0.0,0.0,300.0,19.0,10.0,0.6785714285714286,593.0,0.0,"[4.0, 1.0, 4.0, 10.0]",0.46311866666666646
ppo,,4,20,2,5,0.0,0.0,300.0,19.0,7.0,0.8130630630630631,588.0,0.0,"[1.0, 6.0, 7.0, 5.0]",0.45485000000000514
ppo,,4,20,2,6,0.0,0.0,300.0,39.0,17.0,0.8107675906183369,299.0,0.0,"[4.0, 10.0, 8.0, 17.0]",0.4546803333333334
ppo,,4,20,2,7,0.0,0.0,300.0,8.0,4.0,0.6666666666666666,889.0,0.0,"[4.0, 2.0, 2.0, 0.0]",0.4586263333333325
ppo,,4,20,2,8,0.0,0.0,300.0,22.0,9.0,0.8066666666666666,2.0,291.0,"[2.0, 7.0, 9.0, 4.0]",0.4581453333333367
ppo,,4,20,2,9,0.0,0.0,300.0,15.0,5.0,0.8395522388059702,0.0,295.0,"[1.0, 4.0, 5.0, 5.0]",0.4526570000000045
ppo,,4,20,2,10,0.0,0.0,300.0,18.0,8.0,0.7105263157894737,293.0,292.0,"[0.0, 5.0, 5.0, 8.0]",0.4684123333333308
ppo,,4,20,2,11,0.0,0.0,300.0,33.0,14.0,0.8275075987841946,7.0,286.0,"[6.0, 4.0, 14.0, 9.0]",0.4601429999999951
ppo,,4,20,2,12,0.0,0.0,300.0,16.0,8.0,0.7441860465116279,594.0,0.0,"[8.0, 2.0, 3.0, 3.0]",0.4580083333333344
ppo,,4,20,2,13,0.0,0.0,300.0,11.0,4.0,0.8642857142857143,596.0,296.0,"[1.0, 4.0, 3.0, 3.0]",0.45306633333333696
ppo,,4,20,2,14,0.0,0.0,300.0,27.0,10.0,0.788961038961039,586.0,0.0,"[7.0, 10.0, 1.0, 9.0]",0.45711299999999494
ppo,,4,20,2,15,0.0,0.0,300.0,9.0,5.0,0.49390243902439024,595.0,0.0,"[0.0, 4.0, 0.0, 5.0]",0.4533136666666593
ppo,,4,20,2,16,0.0,0.0,300.0,14.0,8.0,0.49,0.0,294.0,"[0.0, 6.0, 8.0, 0.0]",0.4613780000000034
ppo,,4,20,2,17,0.0,0.0,300.0,308.0,300.0,0.26344086021505375,298.0,0.0,"[2.0, 4.0, 2.0, 300.0]",0.4589343333333318
ppo,,4,20,2,18,0.0,0.0,300.0,26.0,10.0,0.8047619047619048,1166.0,0.0,"[9.0, 10.0, 2.0, 5.0]",0.4588013333333289
ppo,,4,20,2,19,0.0,0.0,300.0,25.0,8.0,0.9245562130177515,296.0,0.0,"[8.0, 8.0, 4.0, 5.0]",0.45477366666665614
ppo,,5,20,0,0,0.0,0.0,300.0,23.0,9.0,0.7100671140939597,592.0,594.0,"[3.0, 7.0, 1.0, 3.0, 9.0]",0.5084743333333227
astar,median,5,20,-1,0,True,False,13,35,12,0.7632398753894081,9,0,"[3, 10, 8, 2, 12]",
astar,component,5,20,-1,0,True,False,106,82,23,0.9510608203677511,1,242,"[14, 13, 23, 14, 18]",
astar,bbox,5,20,-1,0,False,False,300,149,39,0.9612903225806452,19,842,"[25, 39, 30, 22, 33]",
astar,minimax,5,20,-1,0,True,False,73,48,12,0.9804255319148936,2,238,"[9, 12, 9, 8, 10]",
ppo,,5,20,0,1,0.0,0.0,300.0,33.0,12.0,0.7333333333333333,587.0,0.0,"[4.0, 10.0, 1.0, 12.0, 6.0]",0.5024436666666668
astar,median,5,20,-1,1,True,False,12,38,12,0.8494117647058823,1,3,"[8, 8, 2, 12, 8]",
astar,component,5,20,-1,1,True,False,80,79,18,0.9945816733067729,1,161,"[15, 15, 18, 16, 15]",
astar,bbox,5,20,-1,1,True,False,44,52,12,0.9797101449275363,1,145,"[8, 10, 12, 12, 10]",
astar,minimax,5,20,-1,1,True,False,198,74,18,0.9674911660777386,1,745,"[16, 16, 10, 18, 14]",
ppo,,5,20,0,2,0.0,0.0,300.0,11.0,3.0,0.8344827586206897,596.0,297.0,"[3.0, 3.0, 1.0, 1.0, 3.0]",0.4948833333333387
astar,median,5,20,-1,2,True,False,87,40,13,0.8648648648648649,6,184,"[13, 7, 4, 10, 6]",
astar,component,5,20,-1,2,True,False,198,168,36,0.9966101694915255,7,473,"[32, 36, 32, 32, 36]",
astar,bbox,5,20,-1,2,True,False,77,41,10,0.9578347578347578,6,214,"[8, 10, 9, 5, 9]",
astar,minimax,5,20,-1,2,True,False,82,43,11,0.9362025316455697,6,217,"[8, 11, 8, 5, 11]",
ppo,,5,20,0,3,0.0,0.0,300.0,39.0,10.0,0.8973451327433628,875.0,290.0,"[9.0, 7.0, 10.0, 3.0, 10.0]",0.512421999999996
astar,median,5,20,-1,3,True,False,27,59,17,0.8757232704402516,10,0,"[15, 14, 7, 17, 6]",
astar,component,5,20,-1,3,True,False,77,95,27,0.9545214172395557,3,123,"[15, 27, 18, 17, 18]",
astar,bbox,5,20,-1,3,True,True,87,66,17,0.974496644295302,0,228,"[17, 14, 12, 11, 12]",
astar,minimax,5,20,-1,3,True,False,115,91,21,0.9875968992248062,14,199,"[21, 17, 19, 15, 19]",
ppo,,5,20,0,4,0.0,0.0,300.0,327.0,300.0,0.23696964996066353,299.0,0.0,"[5.0, 300.0, 10.0, 1.0, 11.0]",0.48663799999999924
astar,median,5,20,-1,4,True,False,60,52,14,0.845,7,77,"[2, 10, 14, 12, 14]",
astar,component,5,20,-1,4,True,False,16,50,11,0.984251968503937,8,2,"[9, 11, 11, 8, 11]",
astar,bbox,5,20,-1,4,True,False,16,54,12,0.9884745762711864,7,4,"[10, 11, 12, 9, 12]",
astar,minimax,5,20,-1,4,True,False,55,50,12,0.9652509652509652,5,117,"[7, 10, 12, 9, 12]",
ppo,,5,20,0,5,0.0,0.0,300.0,37.0,13.0,0.7982507288629738,12.0,287.0,"[13.0, 5.0, 2.0, 9.0, 8.0]",0.48472933333333873
astar,median,5,20,-1,5,True,False,14,31,11,0.6696864111498257,3,4,"[11, 10, 1, 1, 8]",
astar,component,5,20,-1,5,True,False,15,37,12,0.8222222222222222,7,7,"[12, 11, 4, 4, 6]",
