map_seed,m,n,method,variant,rollout,success,steps,total_distance,max_distance,jain,obs_collisions,revealed,per_robot_distances
10000,20,5,ppo,seed0,1,True,19,69,17,0.9806385169927909,0,0.3175,"[15, 13, 12, 12, 17]"
10000,20,5,ppo,seed0,2,True,44,147,32,0.9923765786452353,14,0.3325,"[32, 29, 25, 29, 32]"
10000,20,5,ppo,seed0,3,True,36,139,31,0.9860168410308752,6,0.3325,"[31, 27, 31, 28, 22]"
10000,20,5,ppo,seed0,4,True,37,113,26,0.9546915887850467,15,0.3025,"[26, 26, 13, 25, 23]"
10000,20,5,ppo,seed1,0,True,65,204,43,0.9977463438024454,19,0.3725,"[38, 42, 42, 39, 43]"
10000,20,5,ppo,seed1,1,True,39,133,33,0.9824493196334352,0,0.35,"[26, 22, 26, 33, 26]"
10000,20,5,ppo,seed1,2,True,24,81,20,0.9655629139072848,6,0.3225,"[18, 17, 15, 11, 20]"
10000,20,5,ppo,seed1,3,True,38,136,30,0.9949435180204411,5,0.33,"[28, 30, 27, 27, 24]"
10000,20,5,ppo,seed1,4,True,39,109,27,0.9433108376339817,25,0.3125,"[21, 26, 12, 23, 27]"
10000,20,5,ppo,seed2,0,True,89,271,59,0.9950680848181017,39,0.36,"[52, 56, 48, 56, 59]"
10000,20,5,ppo,seed2,1,True,43,141,32,0.9868950111690246,6,0.3425,"[30, 30, 23, 32, 26]"
10000,20,5,ppo,seed2,2,True,114,295,74,0.9807291373189835,34,0.3825,"[49, 74, 55, 58, 59]"
10000,20,5,ppo,seed2,3,True,100,343,75,0.9913545397092901,25,0.4225,"[71, 62, 60, 75, 75]"
10000,20,5,ppo,seed2,4,True,60,169,42,0.9244537951124777,36,0.3425,"[35, 39, 15, 38, 42]"
10000,20,5,frontier,danger,0,False,300,46,11,0.9841860465116279,0,0.27,"[10, 11, 8, 9, 8]"
10000,20,5,frontier,no_danger,0,False,300,45,11,0.9759036144578314,0,0.285,"[8, 9, 11, 7, 10]"
10001,20,2,ppo,seed0,0,True,20,27,15,0.9878048780487805,7,0.235,"[12, 15]"
10001,20,2,ppo,seed0,1,True,20,29,16,0.9894117647058823,0,0.2275,"[16, 13]"
10001,20,2,ppo,seed0,2,True,12,20,10,1.0,1,0.195,"[10, 10]"
10001,20,2,ppo,seed0,3,True,31,45,26,0.976374156219865,0,0.275,"[26, 19]"
10001,20,2,ppo,seed0,4,True,17,24,12,1.0,0,0.2075,"[12, 12]"
10001,20,2,ppo,seed1,0,True,14,25,13,0.9984025559105432,1,0.205,"[12, 13]"
10001,20,2,ppo,seed1,1,True,12,21,11,0.997737556561086,0,0.195,"[11, 10]"
10001,20,2,ppo,seed1,2,True,12,22,11,1.0,0,0.21,"[11, 11]"
10001,20,2,ppo,seed1,3,True,16,27,15,0.9878048780487805,0,0.2175,"[15, 12]"
10001,20,2,ppo,seed1,4,True,17,25,13,0.9984025559105432,0,0.21,"[12, 13]"
10001,20,2,ppo,seed2,0,True,13,23,12,0.9981132075471698,1,0.2025,"[11, 12]"
10001,20,2,ppo,seed2,1,True,11,19,10,0.9972375690607734,0,0.1875,"[10, 9]"
10001,20,2,ppo,seed2,2,True,12,21,11,0.997737556561086,0,0.2025,"[10, 11]"
10001,20,2,ppo,seed2,3,True,16,27,14,0.9986301369863013,0,0.215,"[14, 13]"
10001,20,2,ppo,seed2,4,True,16,25,14,0.9858044164037855,1,0.2125,"[11, 14]"
10001,20,2,frontier,danger,0,True,19,38,19,1.0,0,0.2675,"[19, 19]"
10001,20,2,frontier,no_danger,0,True,11,22,11,1.0,0,0.21,"[11, 11]"
10001,20,3,ppo,seed0,0,True,34,63,25,0.9692307692307692,15,0.3475,"[16, 22, 25]"
10001,20,3,ppo,seed0,1,True,242,250,97,0.9800232069495406,31,0.545,"[68, 97, 85]"
10001,20,3,ppo,seed0,2,True,163,206,79,0.9887692809543781,43,0.4725,"[63, 64, 79]"
10001,20,3,ppo,seed0,3,True,40,70,28,0.9397775220560031,9,0.3775,"[15, 27, 28]"
10001,20,3,ppo,seed0,4,True,52,75,30,0.9780907668231612,8,0.3425,"[21, 24, 30]"
10001,20,3,ppo,seed1,0,True,26,50,19,0.9897070467141726,1,0.32,"[19, 15, 16]"
10001,20,3,ppo,seed1,1,True,63,78,32,0.9302752293577982,25,0.3175,"[16, 32, 30]"
10001,20,3,ppo,seed1,2,True,38,68,28,0.9537953795379538,8,0.335,"[16, 28, 24]"
10001,20,3,ppo,seed1,3,True,267,312,116,0.9933263944162126,116,0.445,"[97, 99, 116]"
10001,20,3,ppo,seed1,4,True,145,163,69,0.919756291757538,91,0.435,"[32, 69, 62]"
10001,20,3,ppo,seed2,0,True,50,82,30,0.9873715124816447,19,0.365,"[23, 30, 29]"
10001,20,3,ppo,seed2,1,True,56,83,36,0.9022920759659463,19,0.3575,"[15, 36, 32]"
10001,20,3,ppo,seed2,2,True,101,167,67,0.9794893407789836,24,0.395,"[51, 67, 49]"
10001,20,3,ppo,seed2,3,True,24,51,20,0.9708846584546472,3,0.315,"[18, 20, 13]"
10001,20,3,ppo,seed2,4,True,107,150,62,0.9717543405027209,58,0.4425,"[43, 45, 62]"
10001,20,3,frontier,danger,0,True,21,62,21,0.999479979199168,0,0.345,"[20, 21, 21]"
10001,20,3,frontier,no_danger,0,False,300,39,13,1.0,0,0.2725,"[13, 13, 13]"
10001,20,4,ppo,seed0,0,True,36,97,28,0.9821503131524009,3,0.335,"[25, 19, 25, 28]"
10001,20,4,ppo,seed0,1,True,33,84,27,0.9639344262295082,2,0.38,"[16, 22, 27, 19]"
10001,20,4,ppo,seed0,2,True,63,138,41,0.9796296296296296,20,0.355,"[35, 27, 41, 35]"
10001,20,4,ppo,seed0,3,True,43,113,33,0.9904591995035681,7,0.375,"[27, 26, 33, 27]"
10001,20,4,ppo,seed0,4,True,36,96,25,0.9991326973113617,1,0.3875,"[24, 23, 24, 25]"
10001,20,4,ppo,seed1,0,True,23,64,21,0.9642184557438794,3,0.32,"[16, 14, 13, 21]"
10001,20,4,ppo,seed1,1,True,26,77,22,0.9861942781104458,1,0.35,"[17, 17, 21, 22]"
10001,20,4,ppo,seed1,2,True,59,121,33,0.9927447789530783,14,0.32,"[33, 31, 26, 31]"
10001,20,4,ppo,seed1,3,True,34,81,23,0.9863199037883343,13,0.3475,"[23, 17, 19, 22]"
10001,20,4,ppo,seed1,4,True,25,69,22,0.973221586263287,5,0.3325,"[17, 15, 15, 22]"
10001,20,4,ppo,seed2,0,True,28,73,25,0.9388653981677237,4,0.335,"[20, 15, 13, 25]"
