method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
astar,component,2,20,-1,18,True,True,12,16,9,0.9846153846153847,0,0,
astar,bbox,2,20,-1,18,True,True,4,8,4,1.0,0,0,
ppo,,2,20,0,19,1.0,1.0,2.4,3.6,2.0,0.8975609756097562,0.0,0.0,0.5779880011687055
astar,median,2,20,-1,19,True,True,1,2,1,1.0,0,0,
astar,component,2,20,-1,19,True,True,1,1,1,0.5,0,0,
astar,bbox,2,20,-1,19,True,True,1,2,1,1.0,0,0,
ppo,,2,20,1,0,1.0,0.4,13.2,20.2,11.4,0.9831747390955311,1.6,0.0,0.2368842877772157
ppo,,2,20,1,1,1.0,0.6,15.0,22.8,13.4,0.9640088413300039,2.0,0.0,0.21611861263712248
ppo,,2,20,1,2,1.0,0.0,45.0,47.2,28.4,0.9613022952578028,29.2,0.0,0.18804867131014666
ppo,,2,20,1,3,1.0,0.4,13.8,21.8,12.2,0.9651212973255738,2.8,0.0,0.22094472449785774
ppo,,2,20,1,4,1.0,0.2,10.4,15.4,8.8,0.9486454990891792,1.8,0.0,0.2732949035886962
ppo,,2,20,1,5,1.0,0.0,61.8,67.0,37.2,0.9883816102137658,23.8,0.4,0.18451539166633366
ppo,,2,20,1,6,1.0,1.0,5.6,10.4,5.6,0.9897165458141067,0.0,0.0,0.4472378932405263
ppo,,2,20,1,7,1.0,0.2,11.0,14.4,9.4,0.89841307039853,3.6,0.0,0.2530612178485502
ppo,,2,20,1,8,1.0,0.4,17.2,22.6,13.2,0.9526896949793346,6.4,0.0,0.22021004643161282
ppo,,2,20,1,9,1.0,0.0,14.8,16.6,9.2,0.9770472141418661,6.4,0.0,0.23151297244948107
ppo,,2,20,1,10,1.0,1.0,5.0,6.4,4.2,0.9010654827968925,0.0,0.0,0.3261055191978812
ppo,,2,20,1,11,1.0,0.8,9.6,13.6,7.6,0.9857096388423822,1.0,0.0,0.25552227089065127
ppo,,2,20,1,12,1.0,0.0,47.2,52.6,32.4,0.9420545059114097,19.0,0.6,0.19992708047986094
ppo,,2,20,1,13,1.0,0.0,78.8,65.6,37.2,0.9824278789139219,59.0,0.0,0.1899085304851119
ppo,,2,20,1,14,1.0,0.2,12.4,18.2,11.4,0.9201325323240992,4.0,0.0,0.2417425003518621
ppo,,2,20,1,15,1.0,0.0,93.6,76.6,46.4,0.9281851281852624,54.6,0.4,0.18958026495001987
ppo,,2,20,1,16,1.0,0.6,9.8,15.0,8.2,0.9842683480453973,1.0,0.4,0.2601583885047965
ppo,,2,20,1,17,1.0,1.0,6.6,11.6,6.2,0.9897833922931849,0.0,0.0,0.29223978829880554
ppo,,2,20,1,18,1.0,1.0,5.8,10.6,5.8,0.9886829268292683,0.0,0.0,0.3061805177351524
ppo,,2,20,1,19,1.0,1.0,1.4,2.0,1.2,0.8800000000000001,0.0,0.0,0.6734751431005341
ppo,,2,20,2,0,1.0,0.2,20.4,28.2,15.4,0.9934210554252866,3.8,0.0,0.2094777449326334
ppo,,2,20,2,1,1.0,0.8,14.4,23.0,13.0,0.9798112782546642,1.0,0.0,0.214095041479191
ppo,,2,20,2,2,1.0,0.0,31.6,38.4,22.4,0.9702301697303248,14.8,0.0,0.19051350654645152
