method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
ppo,,4,20,0,12,1.0,0.0,77.0,174.0,53.8,0.968760611880913,37.6,11.2,0.2340684442285013
astar,median,4,20,-1,12,True,False,34,34,12,0.8865030674846626,2,0,
astar,component,4,20,-1,12,True,False,18,39,13,0.9530075187969925,9,6,
astar,bbox,4,20,-1,12,True,False,104,56,18,0.9514563106796117,3,177,
ppo,,4,20,0,13,1.0,0.0,113.6,219.8,69.4,0.9494174488201536,89.0,24.2,0.23723724478540917
astar,median,4,20,-1,13,False,False,300,121,66,0.6217513164599966,21,514,
astar,component,4,20,-1,13,True,False,150,222,68,0.9795674988074415,18,147,
astar,bbox,4,20,-1,13,True,False,190,82,30,0.8970117395944504,13,478,
ppo,,4,20,0,14,1.0,0.0,29.4,78.2,24.6,0.9705519648976431,4.4,4.8,0.2597085783118699
astar,median,4,20,-1,14,True,False,12,34,10,0.9444444444444444,7,3,
astar,component,4,20,-1,14,True,False,29,88,23,0.9989680082559339,4,0,
astar,bbox,4,20,-1,14,True,False,24,44,11,1.0,3,11,
ppo,,4,20,0,15,1.0,0.0,58.0,135.2,42.2,0.9591190423632968,36.2,6.8,0.24461812411980896
astar,median,4,20,-1,15,True,False,16,31,12,0.7392307692307692,8,0,
astar,component,4,20,-1,15,True,False,20,54,17,0.9370179948586118,4,0,
astar,bbox,4,20,-1,15,True,False,16,52,16,0.9575070821529745,4,1,
ppo,,4,20,0,16,1.0,1.0,14.6,38.8,12.6,0.9509854208531152,0.0,2.6,0.28486669857743874
astar,median,4,20,-1,16,True,True,4,14,4,0.9423076923076923,0,0,
astar,component,4,20,-1,16,True,True,8,22,8,0.8768115942028986,0,8,
astar,bbox,4,20,-1,16,True,True,4,14,4,0.9423076923076923,0,0,
ppo,,4,20,0,17,0.2,0.0,273.0,488.6,172.2,0.8907366735995833,265.4,54.8,0.23367892159319623
astar,median,4,20,-1,17,True,False,38,43,32,0.4268236380424746,6,0,
astar,component,4,20,-1,17,True,True,22,57,22,0.8995016611295681,0,8,
astar,bbox,4,20,-1,17,True,False,13,46,13,0.9796296296296296,2,0,
ppo,,4,20,0,18,1.0,0.4,54.6,120.0,37.0,0.9770480337218789,30.2,11.0,0.23740050920213646
astar,median,4,20,-1,18,True,True,45,32,15,0.7398843930635838,0,51,
astar,component,4,20,-1,18,True,True,88,53,17,0.9502706359945873,0,169,
astar,bbox,4,20,-1,18,True,True,135,64,21,0.9660377358490566,0,279,
ppo,,4,20,0,19,0.6,0.0,204.8,342.6,103.6,0.9742104761544959,145.6,70.0,0.22644992088771687
astar,median,4,20,-1,19,True,False,67,58,17,0.9870892018779343,2,117,
astar,component,4,20,-1,19,True,False,160,204,53,0.9984644913627639,1,187,
astar,bbox,4,20,-1,19,True,False,47,64,17,0.9941747572815534,1,30,
ppo,,4,20,1,0,1.0,0.0,41.2,107.2,30.4,0.9847578944991773,9.6,8.6,0.24708733979829597
ppo,,4,20,1,1,1.0,0.0,53.0,123.2,34.8,0.98613954440429,13.4,10.0,0.23733856604557554
ppo,,4,20,1,2,1.0,0.0,134.8,227.2,69.6,0.9631386082371142,121.4,29.2,0.22948989173112774
ppo,,4,20,1,3,1.0,0.0,52.2,123.2,36.2,0.9832444068842123,18.0,4.8,0.2379048008193401
ppo,,4,20,1,4,1.0,0.0,107.8,207.6,65.4,0.9481401455101789,69.0,23.8,0.23038004637749412
ppo,,4,20,1,5,1.0,0.0,57.8,128.2,42.2,0.9366391882071918,29.4,4.4,0.2358628998455756
ppo,,4,20,1,6,1.0,0.0,61.6,136.2,41.6,0.97151806399529,28.0,11.0,0.23869080858323238
ppo,,4,20,1,7,0.8,0.0,97.4,172.6,52.8,0.9473596411339186,67.4,10.2,0.2448989095852865
ppo,,4,20,1,8,1.0,0.0,53.6,104.8,29.6,0.9849544836619406,18.8,10.0,0.2557574851705985
ppo,,4,20,1,9,1.0,0.6,28.6,70.0,19.4,0.9872799878772979,0.8,2.8,0.2762781117450107
ppo,,4,20,1,10,1.0,0.0,74.6,160.8,50.4,0.9649950730648607,19.8,29.6,0.2600479007751029
ppo,,4,20,1,11,1.0,0.0,22.8,59.4,17.4,0.9773076270346264,3.8,3.4,0.28198814068577793
ppo,,4,20,1,12,1.0,0.0,50.2,96.6,31.0,0.9561790936340776,26.4,10.6,0.2561533029109566
ppo,,4,20,1,13,1.0,0.0,117.6,212.0,64.8,0.9534406568354921,75.0,24.6,0.24343948471945945
ppo,,4,20,1,14,1.0,0.0,47.0,104.6,31.2,0.9679759685838516,22.0,6.0,0.2538138086550889
ppo,,4,20,1,15,1.0,0.0,86.8,193.6,58.4,0.9733354907172542,55.2,9.8,0.2472365346376694
ppo,,4,20,1,16,1.0,0.6,18.6,45.4,14.6,0.9615072387822309,1.4,2.6,0.2921494625268444
ppo,,4,20,1,17,0.8,0.0,233.0,459.4,148.8,0.9036936857281848,159.0,40.8,0.2510129304726652
ppo,,4,20,1,18,1.0,0.0,60.4,129.2,40.4,0.9736670990245143,11.8,17.8,0.25614345695249835
ppo,,4,20,1,19,0.8,0.0,161.4,290.6,86.8,0.9708309692867705,103.0,33.6,0.25730981659421137
ppo,,4,20,2,0,1.0,0.4,28.2,70.8,20.6,0.9595646113376783,5.0,6.8,0.2611784610388708
ppo,,4,20,2,1,1.0,0.0,73.0,157.0,46.2,0.9775778211801347,14.8,20.4,0.2372345150359077
ppo,,4,20,2,2,1.0,0.0,113.8,191.2,55.8,0.9864519844664198,48.8,38.4,0.2327422319456398
ppo,,4,20,2,3,1.0,0.0,79.2,174.6,53.0,0.9643498807079268,39.6,10.4,0.23406728290167234
ppo,,4,20,2,4,1.0,0.0,94.4,190.0,57.4,0.9499669217886982,65.2,18.8,0.23249519907009109
ppo,,4,20,2,5,1.0,0.0,94.0,196.6,56.0,0.9668371529566334,47.8,20.6,0.23128475109610627
ppo,,4,20,2,6,1.0,0.0,91.8,187.6,55.4,0.9800588508618459,28.6,24.0,0.23436211980372051
ppo,,4,20,2,7,1.0,0.0,132.8,249.4,80.6,0.9182401699632949,114.6,20.2,0.22993862950832145
ppo,,4,20,2,8,1.0,0.0,47.6,118.2,35.2,0.9799261302857705,17.8,5.8,0.24132962591022628
ppo,,4,20,2,9,1.0,0.6,25.6,69.4,19.6,0.9834601148306813,2.2,6.4,0.2542518282098172
ppo,,4,20,2,10,1.0,0.0,113.4,226.6,70.2,0.9514624398169875,42.0,31.0,0.2319064938645593
ppo,,4,20,2,11,1.0,0.0,14.2,40.8,11.8,0.976151139247358,2.6,3.0,0.2766638030101296
ppo,,4,20,2,12,1.0,0.0,82.0,178.2,56.0,0.9642993292930597,36.0,11.6,0.2325387560853326
ppo,,4,20,2,13,1.0,0.0,103.0,175.8,52.0,0.9716285996936241,75.2,27.8,0.2325206835645712
ppo,,4,20,2,14,1.0,0.0,30.8,78.0,24.0,0.9627611473196506,7.4,3.4,0.2491047013212334
ppo,,4,20,2,15,1.0,0.0,86.2,178.2,52.0,0.9824645047887814,47.2,15.2,0.23241260555181695
ppo,,4,20,2,16,1.0,1.0,22.4,56.8,17.8,0.9694031514765789,0.0,3.0,0.25973197365861517
ppo,,4,20,2,17,1.0,0.0,179.8,314.0,93.8,0.95250078859022,108.8,51.8,0.22885283537869971
ppo,,4,20,2,18,1.0,0.0,43.0,103.4,29.8,0.9796967235002298,15.2,10.8,0.24279368375319726
ppo,,4,20,2,19,1.0,0.0,128.8,265.6,79.2,0.9719020226900049,81.8,24.2,0.2314837468514705
ppo,,5,20,0,0,1.0,0.2,57.4,183.0,42.8,0.9613958278404688,18.0,15.8,0.2714536306513181
astar,median,5,20,-1,0,True,False,13,35,12,0.7632398753894081,9,0,
astar,component,5,20,-1,0,True,False,106,82,23,0.9510608203677511,1,242,
astar,bbox,5,20,-1,0,False,False,300,149,39,0.9612903225806452,19,842,
ppo,,5,20,0,1,1.0,0.0,66.6,203.4,46.4,0.9907469940423098,14.4,20.2,0.2693359908933105
astar,median,5,20,-1,1,True,False,12,38,12,0.8494117647058823,1,3,
astar,component,5,20,-1,1,True,False,80,79,18,0.9945816733067729,1,161,
astar,bbox,5,20,-1,1,True,False,44,52,12,0.9797101449275363,1,145,
ppo,,5,20,0,2,0.2,0.0,259.6,527.4,133.0,0.9569688985249523,202.2,136.2,0.2580469206746134
astar,median,5,20,-1,2,True,False,87,40,13,0.8648648648648649,6,184,
astar,component,5,20,-1,2,True,False,198,168,36,0.9966101694915255,7,473,
astar,bbox,5,20,-1,2,True,False,77,41,10,0.9578347578347578,6,214,
ppo,,5,20,0,3,1.0,0.0,128.0,354.2,86.2,0.9663905064226753,74.2,34.2,0.2618564953081659
astar,median,5,20,-1,3,True,False,27,59,17,0.8757232704402516,10,0,
astar,component,5,20,-1,3,True,False,77,95,27,0.9545214172395557,3,123,
astar,bbox,5,20,-1,3,True,True,87,66,17,0.974496644295302,0,228,
ppo,,5,20,0,4,0.6,0.0,161.2,381.6,100.0,0.9287766257177583,126.4,62.6,0.26076789083081775
astar,median,5,20,-1,4,True,False,60,52,14,0.845,7,77,
astar,component,5,20,-1,4,True,False,16,50,11,0.984251968503937,8,2,
astar,bbox,5,20,-1,4,True,False,16,54,12,0.9884745762711864,7,4,
ppo,,5,20,0,5,0.8,0.0,121.0,284.6,70.4,0.9634470792728317,82.8,55.4,0.2680764578798524
astar,median,5,20,-1,5,True,False,14,31,11,0.6696864111498257,3,4,
astar,component,5,20,-1,5,True,False,15,37,12,0.8222222222222222,7,7,
astar,bbox,5,20,-1,5,True,False,16,44,13,0.9175355450236967,9,7,
ppo,,5,20,0,6,1.0,0.0,90.0,271.0,60.2,0.9906232712147736,27.2,22.4,0.2815295799842311
astar,median,5,20,-1,6,True,False,18,53,13,0.9316749585406302,6,5,
astar,component,5,20,-1,6,True,False,90,107,26,0.9857081360309944,3,167,
astar,bbox,5,20,-1,6,True,False,21,51,12,0.9544954128440367,6,42,
ppo,,5,20,0,7,1.0,0.0,73.6,192.8,47.8,0.9525132964366299,55.4,23.2,0.2853053613406424
astar,median,5,20,-1,7,True,True,61,26,11,0.689795918367347,0,143,
astar,component,5,20,-1,7,True,True,11,25,8,0.8503401360544217,0,8,
astar,bbox,5,20,-1,7,True,False,27,39,12,0.8766570605187319,3,34,
ppo,,5,20,0,8,1.0,0.0,108.0,284.4,71.4,0.9588152579702495,74.4,38.6,0.26562428888778583
astar,median,5,20,-1,8,True,False,10,35,10,0.9386973180076629,4,0,
astar,component,5,20,-1,8,True,False,44,84,22,0.9321003963011889,8,59,
astar,bbox,5,20,-1,8,True,False,16,43,11,0.9757255936675462,11,21,
ppo,,5,20,0,9,0.6,0.0,188.8,544.0,130.2,0.9488457800840255,130.6,49.8,0.27593941416915
astar,median,5,20,-1,9,True,False,44,48,17,0.8199288256227758,6,45,
astar,component,5,20,-1,9,True,False,18,59,15,0.9523939808481532,5,13,
astar,bbox,5,20,-1,9,True,False,23,44,13,0.8921658986175115,3,67,
ppo,,5,20,0,10,1.0,0.0,154.6,438.8,97.0,0.9903770892749473,66.8,46.6,0.2802867038153777
astar,median,5,20,-1,10,True,False,64,47,14,0.9109278350515464,3,143,
astar,component,5,20,-1,10,True,False,23,64,17,0.9592505854800937,9,9,
astar,bbox,5,20,-1,10,True,False,19,56,14,0.9679012345679012,9,10,
ppo,,5,20,0,11,1.0,0.0,53.8,175.2,38.2,0.9941742354630374,11.6,16.8,0.2867030297911494
astar,median,5,20,-1,11,True,False,46,51,16,0.8922813036020584,3,35,
astar,component,5,20,-1,11,True,False,71,77,18,0.9824357912178956,3,146,
astar,bbox,5,20,-1,11,True,False,14,51,14,0.933931777378815,3,1,
ppo,,5,20,0,12,1.0,0.0,153.2,433.6,102.2,0.9670698973909623,102.8,34.4,0.2697596331637635
astar,median,5,20,-1,12,True,False,28,37,20,0.5645360824742268,12,6,
astar,component,5,20,-1,12,True,False,65,63,21,0.8489839572192514,4,161,
astar,bbox,5,20,-1,12,True,False,26,49,11,0.9901030927835052,6,74,
ppo,,5,20,0,13,0.6,0.0,192.6,437.4,99.8,0.9751189635447334,218.8,44.8,0.25681796468463597
astar,median,5,20,-1,13,True,False,88,65,23,0.8596134282807731,9,254,
astar,component,5,20,-1,13,False,False,300,257,98,0.6291879018814003,9,915,
astar,bbox,5,20,-1,13,True,False,81,66,15,0.9469565217391305,5,130,
ppo,,5,20,0,14,1.0,0.4,43.4,140.4,31.6,0.9886650009605316,2.4,13.2,0.27388125343660263
astar,median,5,20,-1,14,True,False,22,43,20,0.5577677224736048,7,2,
astar,component,5,20,-1,14,True,False,33,118,31,0.9662734212352533,7,2,
astar,bbox,5,20,-1,14,True,False,16,48,12,0.9804255319148936,6,17,
ppo,,5,20,0,15,1.0,0.0,80.8,235.2,56.2,0.9802521755419434,33.4,22.2,0.26443703468925883
astar,median,5,20,-1,15,True,True,13,32,13,0.5720670391061452,0,9,
astar,component,5,20,-1,15,True,False,43,79,34,0.7312243702401875,11,21,
astar,bbox,5,20,-1,15,True,False,90,78,18,0.9781350482315112,3,269,
ppo,,5,20,0,16,1.0,0.2,42.4,137.0,31.8,0.9733368279991662,9.8,12.4,0.2730226557139518
astar,median,5,20,-1,16,True,False,13,27,12,0.6422907488986784,1,6,
astar,component,5,20,-1,16,True,False,14,32,13,0.7262411347517731,1,37,
astar,bbox,5,20,-1,16,True,False,10,34,10,0.8562962962962963,1,6,
ppo,,5,20,0,17,0.8,0.0,173.8,437.0,110.6,0.9649007573629076,169.0,52.0,0.25740210820253084
astar,median,5,20,-1,17,True,False,16,51,15,0.8626865671641791,2,0,
astar,component,5,20,-1,17,True,False,38,85,25,0.8773527625986642,4,60,
astar,bbox,5,20,-1,17,True,False,88,69,17,0.9627906976744186,3,307,
ppo,,5,20,0,18,1.0,0.2,36.6,128.0,29.2,0.9817782592628577,2.0,12.6,0.2762811093672581
astar,median,5,20,-1,18,True,True,13,33,13,0.7188118811881188,0,0,
astar,component,5,20,-1,18,True,True,12,41,12,0.868733850129199,0,8,
astar,bbox,5,20,-1,18,True,True,12,34,12,0.7758389261744967,0,14,
ppo,,5,20,0,19,1.0,0.0,166.2,425.6,102.8,0.976120797832755,97.8,51.8,0.2594119073457738
astar,median,5,20,-1,19,True,False,72,65,19,0.9462486002239642,3,143,
astar,component,5,20,-1,19,False,False,300,346,80,0.99349377593361,8,789,
astar,bbox,5,20,-1,19,True,False,169,93,26,0.9205960617349654,4,474,
ppo,,5,20,1,0,1.0,0.0,58.4,183.8,42.4,0.9765382445573112,20.2,17.6,0.2707921884306515
ppo,,5,20,1,1,1.0,0.0,97.0,265.2,63.8,0.9788092748090781,39.0,38.6,0.26284376490553935
ppo,,5,20,1,2,1.0,0.0,125.0,288.2,75.0,0.9529798200028811,98.2,51.2,0.26084358878433705
ppo,,5,20,1,3,1.0,0.0,111.2,317.6,77.6,0.9486923103779554,73.4,24.2,0.2607316995858677
ppo,,5,20,1,4,1.0,0.0,76.2,211.0,48.8,0.9819398144917424,39.8,28.2,0.2636420630649456
ppo,,5,20,1,5,1.0,0.0,87.4,238.6,56.6,0.9785547102745186,43.2,22.6,0.27549856990251853
ppo,,5,20,1,6,0.8,0.0,120.4,344.6,81.0,0.9816582113099992,57.0,34.4,0.2693735000033835
ppo,,5,20,1,7,1.0,0.0,103.4,270.2,63.6,0.9705297624651031,62.4,40.2,0.2612782243911242
ppo,,5,20,1,8,1.0,0.0,31.2,97.6,23.6,0.9815729629526706,12.2,7.6,0.2788336602791857
ppo,,5,20,1,9,0.8,0.0,143.0,377.6,88.8,0.9841224663532969,100.4,40.4,0.258160352469194
ppo,,5,20,1,10,1.0,0.0,169.8,429.4,99.0,0.9854323453590279,72.0,80.4,0.2589000942809694
ppo,,5,20,1,11,1.0,0.2,35.0,116.4,26.2,0.9889113175048342,6.0,6.8,0.2777322398365608
ppo,,5,20,1,12,1.0,0.0,80.2,220.4,52.8,0.9650027228482045,37.8,18.2,0.2642231671130308
ppo,,5,20,1,13,0.6,0.0,207.8,488.4,126.0,0.9584284493691856,203.6,64.2,0.2565662839554817
ppo,,5,20,1,14,1.0,0.4,57.0,171.0,39.4,0.982172031461362,0.8,17.2,0.2666399403671293
ppo,,5,20,1,15,1.0,0.0,86.2,248.4,59.2,0.9759806576402985,61.4,15.8,0.2615497168801777
ppo,,5,20,1,16,1.0,0.2,39.2,125.4,29.0,0.9847548004486318,4.2,16.0,0.27265746950656555
ppo,,5,20,1,17,0.0,0.0,300.0,663.2,173.0,0.9383061257127979,277.0,99.2,0.26949420866246027
ppo,,5,20,1,18,1.0,0.2,32.8,110.6,25.6,0.9769344387766088,6.4,10.0,0.2989697805321889
ppo,,5,20,1,19,1.0,0.0,162.6,434.2,94.6,0.9919811852281729,89.4,61.0,0.27670992744816203
ppo,,5,20,2,0,1.0,0.0,74.8,246.8,56.4,0.9812873179567785,25.6,14.4,0.2675864010996977
ppo,,5,20,2,1,1.0,0.0,48.6,152.6,35.6,0.9835646435254551,5.0,10.6,0.269693065934849
ppo,,5,20,2,2,0.6,0.0,200.6,360.0,85.0,0.9675279768066465,169.0,121.0,0.2572117058805386
ppo,,5,20,2,3,0.8,0.0,120.0,304.2,71.0,0.9695043584722332,75.4,32.6,0.25916018668795004
ppo,,5,20,2,4,1.0,0.0,110.8,305.6,73.6,0.9542016767161032,65.4,25.2,0.25925418952083223
ppo,,5,20,2,5,1.0,0.0,54.6,161.4,38.2,0.9787934267245824,23.2,25.4,0.26804276920288744
ppo,,5,20,2,6,0.8,0.0,100.2,288.8,67.8,0.9835242413238042,53.8,31.4,0.259154972094232
ppo,,5,20,2,7,1.0,0.0,85.8,236.6,55.6,0.9674170425044732,38.6,26.4,0.26129570636042937
ppo,,5,20,2,8,1.0,0.0,110.0,297.0,70.2,0.9704269186994597,78.6,27.0,0.259585280013694
ppo,,5,20,2,9,0.6,0.0,156.0,418.4,109.8,0.9375253857909899,94.0,37.4,0.2562963832856323
ppo,,5,20,2,10,1.0,0.0,79.2,236.8,55.4,0.9815383100583592,37.8,13.8,0.2624393334068979
ppo,,5,20,2,11,1.0,0.0,77.0,239.8,56.8,0.9845089689240559,20.0,27.2,0.26225419987186593
ppo,,5,20,2,12,0.6,0.0,213.0,383.6,91.4,0.9808235089129923,215.8,84.8,0.2572609164135557
ppo,,5,20,2,13,0.8,0.0,196.4,431.0,111.2,0.9216808229632614,195.6,62.8,0.2565509358718764
ppo,,5,20,2,14,1.0,0.4,36.4,114.6,27.4,0.9711342482934281,1.4,8.2,0.27461357703841816
ppo,,5,20,2,15,0.8,0.0,107.6,264.6,59.6,0.9878200351951104,39.0,57.8,0.2596483568679957
ppo,,5,20,2,16,1.0,0.0,61.2,183.4,42.0,0.9888271175248644,17.2,22.0,0.26558172220236387
ppo,,5,20,2,17,0.6,0.0,239.6,587.4,140.2,0.9229976505278102,162.6,64.2,0.2555067996235599
ppo,,5,20,2,18,1.0,0.0,56.8,172.0,40.8,0.986130886059161,5.8,22.4,0.2684398379232603
ppo,,5,20,2,19,0.6,0.0,199.4,493.2,122.2,0.9724938560240124,95.4,73.8,0.25685233200144547
ppo,,5,25,0,0,1.0,0.4,27.8,97.0,21.6,0.9883185623020369,2.0,6.4,0.30946712262539877
astar,median,5,25,-1,0,True,True,11,26,11,0.6828282828282828,0,0,
astar,component,5,25,-1,0,True,True,13,44,11,0.9536945812807882,0,12,
astar,bbox,5,25,-1,0,True,True,9,34,9,0.9475409836065574,0,11,
ppo,,5,25,0,1,1.0,0.0,39.4,132.8,31.2,0.9730223503733377,2.0,8.8,0.2930033603342732
astar,median,5,25,-1,1,True,True,16,28,16,0.4584795321637427,0,30,
astar,component,5,25,-1,1,True,True,23,40,21,0.5797101449275363,0,48,
astar,bbox,5,25,-1,1,True,True,42,46,15,0.853225806451613,0,121,
ppo,,5,25,0,2,1.0,1.0,31.0,114.6,25.2,0.993646500926425,0.0,8.0,0.3052210581729249
astar,median,5,25,-1,2,True,True,12,41,12,0.855470737913486,0,0,
astar,component,5,25,-1,2,True,True,17,75,17,0.9673258813413586,0,0,
astar,bbox,5,25,-1,2,True,False,167,105,24,0.9919028340080972,10,432,
ppo,,5,25,0,3,1.0,0.0,132.0,374.8,89.0,0.9699509117050036,101.2,29.2,0.27887916217106534
astar,median,5,25,-1,3,True,False,21,62,21,0.7378119001919385,5,7,
astar,component,5,25,-1,3,True,False,240,265,59,0.9939140895902625,17,538,
astar,bbox,5,25,-1,3,True,False,36,105,26,0.9778270509977827,7,62,
ppo,,5,25,0,4,1.0,0.0,125.0,332.8,86.8,0.9018318337363658,86.8,38.6,0.2686939023435116
astar,median,5,25,-1,4,True,False,16,35,15,0.6265984654731458,1,0,
astar,component,5,25,-1,4,True,False,13,50,12,0.9578544061302682,1,2,
astar,bbox,5,25,-1,4,True,False,17,49,14,0.9397260273972603,7,14,
ppo,,5,25,0,5,0.8,0.0,122.2,306.6,69.0,0.9893190421308315,84.4,43.0,0.263219505682612
astar,median,5,25,-1,5,True,False,148,98,25,0.9575274177467598,6,357,
astar,component,5,25,-1,5,True,False,231,205,60,0.8759770713913496,18,612,
astar,bbox,5,25,-1,5,True,False,21,71,19,0.8977738201246661,8,25,
ppo,,5,25,0,6,1.0,0.0,74.4,223.4,50.4,0.9880493814351784,30.8,24.2,0.26847467750250814
astar,median,5,25,-1,6,True,False,181,125,29,0.9606517061174301,7,382,
astar,component,5,25,-1,6,True,False,48,97,22,0.9909426013691417,6,84,
astar,bbox,5,25,-1,6,True,False,17,67,16,0.9643394199785177,2,4,
ppo,,5,25,0,7,0.6,0.0,191.2,469.6,118.8,0.9489528734191397,175.8,44.2,0.25860875005693523
astar,median,5,25,-1,7,True,True,41,57,21,0.752954808806489,0,37,
astar,component,5,25,-1,7,True,False,25,81,23,0.914425087108014,6,24,
astar,bbox,5,25,-1,7,True,True,18,58,18,0.8389027431421446,0,25,
ppo,,5,25,0,8,1.0,0.0,72.0,205.2,49.4,0.9705729229568355,31.4,21.8,0.26888413606987643
astar,median,5,25,-1,8,True,True,15,45,15,0.867237687366167,0,11,
astar,component,5,25,-1,8,True,False,16,57,16,0.9486131386861314,2,2,
astar,bbox,5,25,-1,8,True,True,13,48,13,0.9070866141732283,0,0,
ppo,,5,25,0,9,0.8,0.0,133.2,368.0,83.4,0.9758169446273046,71.0,51.6,0.2627701381628343
astar,median,5,25,-1,9,True,False,54,78,24,0.9135135135135135,1,30,
astar,component,5,25,-1,9,True,False,40,160,35,0.9961089494163424,12,1,
astar,bbox,5,25,-1,9,True,False,77,89,24,0.9701163502755664,9,238,
ppo,,5,25,0,10,1.0,0.0,79.4,219.8,54.8,0.9600978210159677,48.2,28.0,0.2665087681554577
astar,median,5,25,-1,10,True,False,20,33,13,0.6462908011869436,11,36,
astar,component,5,25,-1,10,True,False,14,46,13,0.9404444444444444,4,0,
astar,bbox,5,25,-1,10,True,False,21,51,15,0.8598347107438017,8,20,
ppo,,5,25,0,11,1.0,0.8,24.0,83.8,20.6,0.9717892863302587,0.2,5.8,0.2927846915554255
astar,median,5,25,-1,11,True,False,15,34,13,0.7458064516129033,2,35,
astar,component,5,25,-1,11,True,True,46,61,14,0.9856953642384106,0,147,
astar,bbox,5,25,-1,11,True,False,74,66,15,0.992255125284738,5,234,
ppo,,5,25,0,12,1.0,0.0,94.4,295.6,66.8,0.9896764032440206,39.0,21.8,0.2645693982801384
astar,median,5,25,-1,12,True,False,17,61,16,0.8933973589435774,3,1,
astar,component,5,25,-1,12,True,False,30,102,29,0.9553719008264463,1,4,
astar,bbox,5,25,-1,12,True,False,48,98,23,0.985025641025641,6,124,
ppo,,5,25,0,13,1.0,0.8,46.6,169.6,38.4,0.9853204382200476,0.4,11.8,0.27379217155901275
astar,median,5,25,-1,13,True,True,21,59,21,0.818096357226792,0,1,
astar,component,5,25,-1,13,True,True,59,103,26,0.9800461893764434,0,132,
astar,bbox,5,25,-1,13,True,True,19,79,19,0.9759186864738076,0,7,
ppo,,5,25,0,14,1.0,0.4,33.0,117.2,27.0,0.9849460736769599,1.6,4.6,0.2846530846771643
astar,median,5,25,-1,14,True,True,15,40,15,0.7476635514018691,0,3,
astar,component,5,25,-1,14,True,True,15,47,15,0.8925252525252525,0,16,
astar,bbox,5,25,-1,14,True,True,12,47,12,0.9625272331154684,0,9,
ppo,,5,25,0,15,1.0,0.0,130.8,386.2,95.6,0.9587203611600039,91.8,30.4,0.26114399387182197
astar,median,5,25,-1,15,True,False,23,59,23,0.675266731328807,4,0,
astar,component,5,25,-1,15,True,False,33,98,28,0.9462068965517242,4,23,
astar,bbox,5,25,-1,15,True,False,18,72,18,0.9671641791044776,4,14,
ppo,,5,25,0,16,1.0,0.0,39.2,137.0,31.8,0.9739214196354988,11.6,6.0,0.27939257638443415
astar,median,5,25,-1,16,True,False,24,46,24,0.5734417344173441,3,13,
astar,component,5,25,-1,16,True,False,49,80,27,0.8839779005524862,3,93,
astar,bbox,5,25,-1,16,True,False,18,74,17,0.9813620071684588,7,0,
ppo,,5,25,0,17,1.0,0.2,121.8,341.4,85.2,0.9676403958878504,71.2,31.0,0.2620089014461463
astar,median,5,25,-1,17,True,False,22,54,22,0.7673684210526316,4,11,
astar,component,5,25,-1,17,True,False,24,96,24,0.9610010427528676,5,10,
astar,bbox,5,25,-1,17,True,True,17,63,17,0.9113662456946039,0,1,
ppo,,5,25,0,18,1.0,0.0,119.0,325.0,76.2,0.9828347313412362,68.0,42.8,0.26448520835676864
astar,median,5,25,-1,18,True,False,23,51,19,0.8192125984251969,13,6,
astar,component,5,25,-1,18,True,False,57,90,22,0.9608540925266904,7,94,
astar,bbox,5,25,-1,18,True,False,18,53,14,0.9473861720067454,10,2,
ppo,,5,25,0,19,0.8,0.0,243.0,563.2,147.8,0.9212018716168888,214.0,102.6,0.27554224196384536
astar,median,5,25,-1,19,True,True,24,54,24,0.6642369020501139,0,7,
astar,component,5,25,-1,19,True,True,24,86,19,0.9809018567639257,0,5,
astar,bbox,5,25,-1,19,True,False,20,85,20,0.9704499664204164,5,2,
ppo,,5,25,1,0,1.0,1.0,41.4,133.4,30.6,0.9888603883634166,0.0,14.2,0.28769165229115296
ppo,,5,25,1,1,1.0,0.0,66.2,200.8,46.6,0.9731887739446499,11.6,25.0,0.28079398186719806
ppo,,5,25,1,2,1.0,1.0,26.8,98.4,24.0,0.9780080413218014,0.0,5.2,0.29865796278133544
ppo,,5,25,1,3,0.8,0.0,176.4,450.6,114.8,0.9322967336517489,159.2,43.6,0.26542912922375106
ppo,,5,25,1,4,0.8,0.0,167.6,435.2,114.6,0.8885147262497336,124.4,53.2,0.2716320787994347
ppo,,5,25,1,5,0.8,0.0,131.6,320.4,77.6,0.9686890706004364,113.6,48.6,0.2684779787198343
ppo,,5,25,1,6,1.0,0.0,72.8,217.4,48.0,0.9927051722819942,25.6,23.8,0.274193491709961
ppo,,5,25,1,7,0.6,0.0,174.6,420.8,122.0,0.9026191096562105,193.4,35.2,0.2670707434462757
ppo,,5,25,1,8,1.0,0.0,78.8,204.6,50.8,0.9641605673285152,62.2,25.8,0.27297453560067464
ppo,,5,25,1,9,0.8,0.0,152.2,384.0,95.2,0.9738054376660028,144.0,44.8,0.2709619670925214
ppo,,5,25,1,10,1.0,0.0,64.6,191.8,46.0,0.9719536156126385,29.8,15.0,0.2748608575116024
ppo,,5,25,1,11,1.0,0.8,46.6,158.6,35.4,0.98695622449975,1.6,10.8,0.2913684936444167
ppo,,5,25,1,12,0.8,0.0,190.8,466.0,116.2,0.9647104010789729,136.6,66.8,0.27064434486974337
ppo,,5,25,1,13,1.0,0.2,57.0,202.0,45.2,0.9909462195655964,5.8,12.8,0.2845118071459103
