method,config,n_robots,map_size,seed,episode,success,steps,total_distance,max_distance,inference_ms_per_step
ppo,N2_M20,2,20,2,9,0,256,6,3,0.338
astar,N2_M20,2,20,2,9,1,1,2,1,
ppo,N2_M20,2,20,2,10,0,256,11,10,0.336
astar,N2_M20,2,20,2,10,1,2,4,2,
ppo,N2_M20,2,20,2,11,1,8,12,8,0.497
astar,N2_M20,2,20,2,11,1,2,4,2,
ppo,N2_M20,2,20,2,12,0,256,2,1,0.336
astar,N2_M20,2,20,2,12,1,5,7,5,
ppo,N2_M20,2,20,2,13,0,256,9,9,0.343
astar,N2_M20,2,20,2,13,1,2,4,2,
ppo,N2_M20,2,20,2,14,0,256,8,5,0.342
astar,N2_M20,2,20,2,14,1,1,2,1,
ppo,N2_M20,2,20,2,15,0,256,2,1,0.332
astar,N2_M20,2,20,2,15,1,3,5,3,
ppo,N2_M20,2,20,2,16,0,256,2,2,0.319
astar,N2_M20,2,20,2,16,1,10,17,9,
ppo,N2_M20,2,20,2,17,1,5,8,5,0.408
astar,N2_M20,2,20,2,17,1,2,4,2,
ppo,N2_M20,2,20,2,18,0,256,0,0,0.317
astar,N2_M20,2,20,2,18,1,3,6,3,
ppo,N2_M20,2,20,2,19,1,5,10,5,0.619
astar,N2_M20,2,20,2,19,1,6,10,6,
ppo,N3_M20,3,20,0,0,0,256,14,7,0.408
astar,N3_M20,3,20,0,0,1,17,38,14,
ppo,N3_M20,3,20,0,1,0,256,5,4,0.406
astar,N3_M20,3,20,0,1,1,4,12,4,
ppo,N3_M20,3,20,0,2,0,256,5,4,0.411
astar,N3_M20,3,20,0,2,1,17,44,17,
ppo,N3_M20,3,20,0,3,0,256,14,8,0.422
astar,N3_M20,3,20,0,3,1,12,29,12,
ppo,N3_M20,3,20,0,4,0,256,2,2,0.422
astar,N3_M20,3,20,0,4,1,3,9,3,
ppo,N3_M20,3,20,0,5,0,256,0,0,0.408
astar,N3_M20,3,20,0,5,1,8,21,8,
ppo,N3_M20,3,20,0,6,0,256,6,6,0.403
astar,N3_M20,3,20,0,6,1,8,24,8,
ppo,N3_M20,3,20,0,7,0,256,7,4,0.386
astar,N3_M20,3,20,0,7,1,6,17,6,
ppo,N3_M20,3,20,0,8,0,256,12,5,0.382
astar,N3_M20,3,20,0,8,1,2,6,2,
ppo,N3_M20,3,20,0,9,0,256,19,13,0.389
astar,N3_M20,3,20,0,9,1,1,3,1,
ppo,N3_M20,3,20,0,10,0,256,17,11,0.405
astar,N3_M20,3,20,0,10,1,3,8,3,
ppo,N3_M20,3,20,0,11,0,256,14,6,0.41
astar,N3_M20,3,20,0,11,1,5,15,5,
ppo,N3_M20,3,20,0,12,0,256,6,4,0.404
astar,N3_M20,3,20,0,12,1,22,60,21,
ppo,N3_M20,3,20,0,13,0,256,4,2,0.408
astar,N3_M20,3,20,0,13,1,22,41,21,
ppo,N3_M20,3,20,0,14,0,256,12,7,0.412
astar,N3_M20,3,20,0,14,1,16,39,14,
ppo,N3_M20,3,20,0,15,0,256,4,4,0.41
astar,N3_M20,3,20,0,15,1,13,35,13,
ppo,N3_M20,3,20,0,16,0,256,15,8,0.4
astar,N3_M20,3,20,0,16,1,21,56,21,
ppo,N3_M20,3,20,0,17,0,256,1,1,0.386
astar,N3_M20,3,20,0,17,1,11,28,11,
ppo,N3_M20,3,20,0,18,0,256,4,4,0.38
astar,N3_M20,3,20,0,18,1,17,36,13,
ppo,N3_M20,3,20,0,19,0,256,4,2,0.407
astar,N3_M20,3,20,0,19,1,17,47,17,
ppo,N3_M20,3,20,1,0,1,1,3,1,1.073
astar,N3_M20,3,20,1,0,1,8,19,8,
ppo,N3_M20,3,20,1,1,0,256,29,12,0.406
astar,N3_M20,3,20,1,1,1,4,10,4,
ppo,N3_M20,3,20,1,2,0,256,12,5,0.413
astar,N3_M20,3,20,1,2,1,4,12,4,
ppo,N3_M20,3,20,1,3,0,256,8,4,0.41
astar,N3_M20,3,20,1,3,1,6,18,6,
ppo,N3_M20,3,20,1,4,0,256,4,2,0.405
astar,N3_M20,3,20,1,4,1,11,28,11,
ppo,N3_M20,3,20,1,5,0,256,6,3,0.409
astar,N3_M20,3,20,1,5,1,9,24,9,
ppo,N3_M20,3,20,1,6,1,6,12,6,0.659
astar,N3_M20,3,20,1,6,1,14,37,14,
ppo,N3_M20,3,20,1,7,1,8,21,8,0.473
astar,N3_M20,3,20,1,7,1,2,6,2,
ppo,N3_M20,3,20,1,8,1,12,23,12,0.442
astar,N3_M20,3,20,1,8,1,19,44,16,
ppo,N3_M20,3,20,1,9,0,256,267,256,0.406
astar,N3_M20,3,20,1,9,1,7,16,7,
ppo,N3_M20,3,20,1,10,0,256,8,4,0.386
astar,N3_M20,3,20,1,10,1,3,9,3,
ppo,N3_M20,3,20,1,11,0,256,7,6,0.392
astar,N3_M20,3,20,1,11,1,12,34,12,
ppo,N3_M20,3,20,1,12,1,6,11,6,0.599
astar,N3_M20,3,20,1,12,1,11,28,11,
ppo,N3_M20,3,20,1,13,1,8,10,8,0.421
astar,N3_M20,3,20,1,13,1,6,17,6,
ppo,N3_M20,3,20,1,14,0,256,9,4,0.401
astar,N3_M20,3,20,1,14,1,5,12,5,
ppo,N3_M20,3,20,1,15,0,256,24,16,0.404
astar,N3_M20,3,20,1,15,1,13,32,12,
ppo,N3_M20,3,20,1,16,0,256,8,8,0.406
astar,N3_M20,3,20,1,16,1,13,36,13,
ppo,N3_M20,3,20,1,17,1,2,6,2,0.782
astar,N3_M20,3,20,1,17,1,5,13,5,
ppo,N3_M20,3,20,1,18,0,256,10,5,0.409
astar,N3_M20,3,20,1,18,1,2,6,2,
ppo,N3_M20,3,20,1,19,0,256,23,15,0.414
astar,N3_M20,3,20,1,19,1,12,29,12,
ppo,N3_M20,3,20,2,0,0,256,11,4,0.411
astar,N3_M20,3,20,2,0,1,15,36,15,
ppo,N3_M20,3,20,2,1,0,256,261,256,0.415
astar,N3_M20,3,20,2,1,1,13,36,13,
ppo,N3_M20,3,20,2,2,0,256,0,0,0.395
astar,N3_M20,3,20,2,2,1,8,22,8,
ppo,N3_M20,3,20,2,3,0,256,9,7,0.389
astar,N3_M20,3,20,2,3,1,10,29,10,
ppo,N3_M20,3,20,2,4,0,256,8,6,0.398
astar,N3_M20,3,20,2,4,1,10,25,10,
ppo,N3_M20,3,20,2,5,0,256,8,4,0.407
astar,N3_M20,3,20,2,5,1,1,3,1,
ppo,N3_M20,3,20,2,6,0,256,7,3,0.407
astar,N3_M20,3,20,2,6,1,14,35,14,
ppo,N3_M20,3,20,2,7,0,256,6,4,0.406
astar,N3_M20,3,20,2,7,1,11,29,11,
ppo,N3_M20,3,20,2,8,0,256,13,5,0.407
astar,N3_M20,3,20,2,8,1,2,6,2,
ppo,N3_M20,3,20,2,9,0,256,10,5,0.405
astar,N3_M20,3,20,2,9,1,14,36,12,
ppo,N3_M20,3,20,2,10,0,256,7,3,0.407
astar,N3_M20,3,20,2,10,1,4,10,4,
ppo,N3_M20,3,20,2,11,1,8,19,8,0.425
astar,N3_M20,3,20,2,11,1,14,33,12,
ppo,N3_M20,3,20,2,12,0,256,10,4,0.401
astar,N3_M20,3,20,2,12,1,10,29,10,
ppo,N3_M20,3,20,2,13,0,256,3,1,0.399
astar,N3_M20,3,20,2,13,1,10,26,10,
ppo,N3_M20,3,20,2,14,1,4,10,4,0.681
astar,N3_M20,3,20,2,14,1,10,23,9,
ppo,N3_M20,3,20,2,15,1,6,12,6,0.46
astar,N3_M20,3,20,2,15,1,11,33,11,
ppo,N3_M20,3,20,2,16,0,256,14,7,0.4
astar,N3_M20,3,20,2,16,1,13,34,13,
ppo,N3_M20,3,20,2,17,1,1,1,1,0.958
astar,N3_M20,3,20,2,17,0,256,54,20,
ppo,N3_M20,3,20,2,18,0,256,10,7,0.422
astar,N3_M20,3,20,2,18,1,4,11,4,
ppo,N3_M20,3,20,2,19,0,256,258,256,0.417
astar,N3_M20,3,20,2,19,1,20,50,18,
ppo,N4_M20,4,20,0,0,0,256,2,1,0.479
astar,N4_M20,4,20,0,0,1,14,51,14,
ppo,N4_M20,4,20,0,1,0,256,261,256,0.454
astar,N4_M20,4,20,0,1,1,28,93,26,
ppo,N4_M20,4,20,0,2,0,256,0,0,0.449
astar,N4_M20,4,20,0,2,1,10,35,10,
ppo,N4_M20,4,20,0,3,0,256,10,6,0.47
astar,N4_M20,4,20,0,3,1,13,44,13,
ppo,N4_M20,4,20,0,4,0,256,270,256,0.478
astar,N4_M20,4,20,0,4,1,14,44,12,
ppo,N4_M20,4,20,0,5,0,256,10,5,0.499
astar,N4_M20,4,20,0,5,1,13,38,12,
ppo,N4_M20,4,20,0,6,0,256,5,3,0.478
astar,N4_M20,4,20,0,6,1,6,23,6,
ppo,N4_M20,4,20,0,7,0,256,270,256,0.473
astar,N4_M20,4,20,0,7,1,14,45,12,
ppo,N4_M20,4,20,0,8,0,256,19,9,0.479
astar,N4_M20,4,20,0,8,1,18,67,18,
ppo,N4_M20,4,20,0,9,0,256,258,256,0.458
astar,N4_M20,4,20,0,9,1,16,59,16,
ppo,N4_M20,4,20,0,10,0,256,268,256,0.448
astar,N4_M20,4,20,0,10,1,6,22,6,
ppo,N4_M20,4,20,0,11,0,256,5,3,0.467
astar,N4_M20,4,20,0,11,1,17,59,17,
ppo,N4_M20,4,20,0,12,0,256,12,5,0.477
astar,N4_M20,4,20,0,12,1,14,48,14,
ppo,N4_M20,4,20,0,13,0,256,19,11,0.481
astar,N4_M20,4,20,0,13,1,19,68,19,
ppo,N4_M20,4,20,0,14,0,256,256,256,0.484
astar,N4_M20,4,20,0,14,1,7,24,7,
ppo,N4_M20,4,20,0,15,0,256,5,3,0.485
astar,N4_M20,4,20,0,15,1,10,38,10,
