method,config,n_robots,map_size,seed,episode,success,steps,total_distance,max_distance,inference_ms_per_step
astar,N5_M25,5,25,0,6,1,18,85,18,
ppo,N5_M25,5,25,0,7,0,256,5,2,0.553
astar,N5_M25,5,25,0,7,1,23,100,23,
ppo,N5_M25,5,25,0,8,0,256,21,6,0.543
astar,N5_M25,5,25,0,8,1,19,84,19,
ppo,N5_M25,5,25,0,9,0,256,12,6,0.557
astar,N5_M25,5,25,0,9,1,16,71,16,
ppo,N5_M25,5,25,0,10,0,256,263,252,0.521
astar,N5_M25,5,25,0,10,1,20,92,20,
ppo,N5_M25,5,25,0,11,0,256,17,7,0.54
astar,N5_M25,5,25,0,11,1,14,63,14,
ppo,N5_M25,5,25,0,12,0,256,21,7,0.552
astar,N5_M25,5,25,0,12,1,19,84,17,
ppo,N5_M25,5,25,0,13,0,256,5,3,0.556
astar,N5_M25,5,25,0,13,1,16,67,16,
ppo,N5_M25,5,25,0,14,0,256,24,9,0.546
astar,N5_M25,5,25,0,14,0,256,1273,256,
ppo,N5_M25,5,25,0,15,0,256,290,256,0.56
astar,N5_M25,5,25,0,15,1,19,82,19,
ppo,N5_M25,5,25,0,16,0,256,24,12,0.543
astar,N5_M25,5,25,0,16,1,14,68,14,
ppo,N5_M25,5,25,0,17,0,256,16,8,0.523
astar,N5_M25,5,25,0,17,0,256,1026,255,
ppo,N5_M25,5,25,0,18,0,256,17,6,0.544
astar,N5_M25,5,25,0,18,1,21,89,20,
ppo,N5_M25,5,25,0,19,0,256,18,10,0.549
astar,N5_M25,5,25,0,19,1,22,94,21,
ppo,N5_M25,5,25,1,0,0,256,21,7,0.559
astar,N5_M25,5,25,1,0,1,17,67,16,
ppo,N5_M25,5,25,1,1,0,256,11,5,0.558
astar,N5_M25,5,25,1,1,1,18,79,18,
ppo,N5_M25,5,25,1,2,0,256,23,7,0.56
astar,N5_M25,5,25,1,2,1,9,39,9,
ppo,N5_M25,5,25,1,3,0,256,25,11,0.517
astar,N5_M25,5,25,1,3,1,12,54,12,
ppo,N5_M25,5,25,1,4,0,256,10,5,0.528
astar,N5_M25,5,25,1,4,1,16,73,16,
ppo,N5_M25,5,25,1,5,0,256,8,5,0.552
astar,N5_M25,5,25,1,5,1,21,94,21,
ppo,N5_M25,5,25,1,6,0,256,7,5,0.555
astar,N5_M25,5,25,1,6,1,23,93,21,
ppo,N5_M25,5,25,1,7,0,256,5,2,0.557
astar,N5_M25,5,25,1,7,1,10,44,10,
ppo,N5_M25,5,25,1,8,0,256,515,255,0.569
astar,N5_M25,5,25,1,8,1,17,75,16,
ppo,N5_M25,5,25,1,9,0,256,6,4,0.556
astar,N5_M25,5,25,1,9,1,25,105,25,
ppo,N5_M25,5,25,1,10,0,256,11,5,0.525
astar,N5_M25,5,25,1,10,1,22,96,22,
ppo,N5_M25,5,25,1,11,0,256,9,6,0.519
astar,N5_M25,5,25,1,11,1,19,81,19,
ppo,N5_M25,5,25,1,12,0,256,264,256,0.544
astar,N5_M25,5,25,1,12,1,20,87,20,
ppo,N5_M25,5,25,1,13,0,256,25,10,0.566
astar,N5_M25,5,25,1,13,1,12,52,12,
ppo,N5_M25,5,25,1,14,0,256,12,5,0.566
astar,N5_M25,5,25,1,14,1,22,99,22,
ppo,N5_M25,5,25,1,15,0,256,3,2,0.556
astar,N5_M25,5,25,1,15,1,14,58,14,
ppo,N5_M25,5,25,1,16,0,256,11,3,0.562
astar,N5_M25,5,25,1,16,1,14,61,14,
ppo,N5_M25,5,25,1,17,0,256,23,11,0.527
astar,N5_M25,5,25,1,17,1,17,73,17,
ppo,N5_M25,5,25,1,18,0,256,268,256,0.541
astar,N5_M25,5,25,1,18,1,17,72,17,
ppo,N5_M25,5,25,1,19,0,256,9,4,0.552
astar,N5_M25,5,25,1,19,1,20,85,20,
ppo,N5_M25,5,25,2,0,0,256,266,253,0.554
astar,N5_M25,5,25,2,0,1,15,66,15,
ppo,N5_M25,5,25,2,1,0,256,36,14,0.542
astar,N5_M25,5,25,2,1,1,26,93,21,
ppo,N5_M25,5,25,2,2,0,256,263,256,0.563
astar,N5_M25,5,25,2,2,1,13,55,13,
ppo,N5_M25,5,25,2,3,0,256,274,256,0.561
astar,N5_M25,5,25,2,3,1,18,75,18,
ppo,N5_M25,5,25,2,4,0,256,25,8,0.53
astar,N5_M25,5,25,2,4,1,18,77,17,
ppo,N5_M25,5,25,2,5,0,256,262,256,0.539
astar,N5_M25,5,25,2,5,1,23,93,22,
ppo,N5_M25,5,25,2,6,0,256,11,5,0.56
astar,N5_M25,5,25,2,6,1,18,78,17,
ppo,N5_M25,5,25,2,7,0,256,14,5,0.581
astar,N5_M25,5,25,2,7,1,18,71,16,
ppo,N5_M25,5,25,2,8,0,256,23,9,0.57
astar,N5_M25,5,25,2,8,1,13,63,13,
ppo,N5_M25,5,25,2,9,0,256,10,6,0.554
astar,N5_M25,5,25,2,9,1,24,101,23,
ppo,N5_M25,5,25,2,10,0,256,17,14,0.558
astar,N5_M25,5,25,2,10,1,15,63,15,
ppo,N5_M25,5,25,2,11,0,256,13,8,0.526
astar,N5_M25,5,25,2,11,1,11,48,11,
ppo,N5_M25,5,25,2,12,0,256,22,11,0.538
astar,N5_M25,5,25,2,12,1,27,113,27,
ppo,N5_M25,5,25,2,13,0,256,17,9,0.543
astar,N5_M25,5,25,2,13,1,21,91,21,
ppo,N5_M25,5,25,2,14,0,256,12,4,0.549
astar,N5_M25,5,25,2,14,1,16,77,16,
ppo,N5_M25,5,25,2,15,0,256,16,10,0.56
astar,N5_M25,5,25,2,15,1,19,84,19,
ppo,N5_M25,5,25,2,16,0,256,262,256,0.556
astar,N5_M25,5,25,2,16,1,11,50,11,
ppo,N5_M25,5,25,2,17,0,256,20,8,0.549
astar,N5_M25,5,25,2,17,1,15,65,15,
ppo,N5_M25,5,25,2,18,0,256,16,6,0.543
astar,N5_M25,5,25,2,18,1,25,104,25,
ppo,N5_M25,5,25,2,19,0,256,14,11,0.566
astar,N5_M25,5,25,2,19,1,21,88,21,
