config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N4_M20,4,20,0,0,0,1,27,12.13,16.5,66.0,18.0,0.9954,6,3
N4_M20,4,20,0,0,1,1,19,8.87,13.75,55.0,16.0,0.9834,6,1
N4_M20,4,20,0,0,2,1,34,15.87,22.5,90.0,28.0,0.9561,11,7
N4_M20,4,20,0,0,3,1,24,11.2,17.75,71.0,21.0,0.9642,1,2
N4_M20,4,20,0,0,4,1,18,7.93,12.75,51.0,16.0,0.9778,4,2
N4_M20,4,20,0,1,0,1,43,18.67,24.0,96.0,27.0,0.9888,10,19
N4_M20,4,20,0,1,1,1,33,14.93,21.5,86.0,25.0,0.9856,1,3
N4_M20,4,20,0,1,2,1,51,22.4,34.5,138.0,37.0,0.9964,12,2
N4_M20,4,20,0,1,3,1,37,17.27,23.5,94.0,28.0,0.9818,7,2
N4_M20,4,20,0,1,4,1,37,17.27,24.75,99.0,27.0,0.9948,1,5
N4_M20,4,20,0,2,0,1,103,39.67,39.0,156.0,49.0,0.9772,55,57
N4_M20,4,20,0,2,1,0,300,98.0,81.25,325.0,116.0,0.9319,163,154
N4_M20,4,20,0,2,2,1,46,19.6,23.5,94.0,32.0,0.9481,33,13
N4_M20,4,20,0,2,3,1,52,22.4,27.5,110.0,40.0,0.9302,19,19
N4_M20,4,20,0,2,4,1,43,17.27,22.25,89.0,25.0,0.9926,15,21
N4_M20,4,20,0,3,0,1,42,18.67,27.75,111.0,31.0,0.9927,22,2
N4_M20,4,20,0,3,1,1,49,22.4,27.75,111.0,35.0,0.9623,12,7
N4_M20,4,20,0,3,2,1,111,47.13,55.5,222.0,75.0,0.9559,74,11
N4_M20,4,20,0,3,3,1,63,25.67,29.25,117.0,39.0,0.8715,51,12
N4_M20,4,20,0,3,4,1,70,30.33,37.75,151.0,49.0,0.9496,26,9
N4_M20,4,20,0,4,0,1,49,22.87,31.5,126.0,34.0,0.9967,7,4
N4_M20,4,20,0,4,1,1,15,7.0,10.75,43.0,12.0,0.9856,0,0
N4_M20,4,20,0,4,2,1,141,58.33,64.0,256.0,81.0,0.9631,90,30
N4_M20,4,20,0,4,3,1,196,80.73,84.5,338.0,103.0,0.9467,91,70
N4_M20,4,20,0,4,4,1,50,21.93,28.25,113.0,33.0,0.9801,10,14
N4_M20,4,20,0,5,0,1,82,36.4,45.75,183.0,58.0,0.9453,40,18
N4_M20,4,20,0,5,1,1,74,32.2,41.0,164.0,49.0,0.9805,43,12
N4_M20,4,20,0,5,2,1,41,17.73,23.0,92.0,25.0,0.9953,15,8
N4_M20,4,20,0,5,3,1,44,20.53,23.0,92.0,30.0,0.9379,29,2
N4_M20,4,20,0,5,4,1,28,13.07,18.25,73.0,24.0,0.9336,19,6
N4_M20,4,20,0,6,0,1,199,85.4,104.25,417.0,122.0,0.969,127,22
N4_M20,4,20,0,6,1,1,84,38.73,49.25,197.0,57.0,0.9897,34,11
N4_M20,4,20,0,6,2,1,32,14.47,23.75,95.0,27.0,0.9857,8,0
N4_M20,4,20,0,6,3,1,47,21.0,31.25,125.0,37.0,0.9857,13,4
N4_M20,4,20,0,6,4,1,46,20.53,30.0,120.0,33.0,0.9961,17,1
N4_M20,4,20,0,7,0,1,47,21.0,27.75,111.0,32.0,0.9914,23,10
N4_M20,4,20,0,7,1,1,35,16.33,21.25,85.0,25.0,0.9822,22,0
N4_M20,4,20,0,7,2,1,45,20.53,24.25,97.0,29.0,0.9629,18,6
N4_M20,4,20,0,7,3,1,54,23.8,27.5,110.0,31.0,0.9866,37,5
N4_M20,4,20,0,7,4,1,20,8.87,13.5,54.0,18.0,0.9322,3,2
N4_M20,4,20,0,8,0,1,46,20.53,27.0,108.0,30.0,0.9878,16,0
N4_M20,4,20,0,8,1,1,32,14.0,17.0,68.0,19.0,0.9797,9,4
N4_M20,4,20,0,8,2,1,38,16.33,19.75,79.0,27.0,0.9543,0,3
N4_M20,4,20,0,8,3,1,26,12.13,15.5,62.0,19.0,0.9591,3,1
N4_M20,4,20,0,8,4,1,95,40.13,47.75,191.0,51.0,0.9971,36,12
N4_M20,4,20,0,9,0,1,15,7.0,9.75,39.0,12.0,0.9826,0,2
N4_M20,4,20,0,9,1,1,12,5.6,9.25,37.0,12.0,0.9481,0,2
N4_M20,4,20,0,9,2,1,12,5.6,9.5,38.0,11.0,0.9704,0,0
N4_M20,4,20,0,9,3,1,34,14.47,16.75,67.0,22.0,0.9423,0,19
N4_M20,4,20,0,9,4,1,22,9.8,14.75,59.0,15.0,0.9991,0,3
N4_M20,4,20,1,0,0,1,24,11.2,15.0,60.0,17.0,0.974,4,2
N4_M20,4,20,1,0,1,1,46,19.6,26.25,105.0,30.0,0.9798,16,10
N4_M20,4,20,1,0,2,1,18,8.4,11.0,44.0,14.0,0.949,9,2
N4_M20,4,20,1,0,3,1,46,21.0,30.0,120.0,34.0,0.9874,10,8
N4_M20,4,20,1,0,4,1,60,25.2,32.5,130.0,40.0,0.9651,24,14
N4_M20,4,20,1,1,0,1,23,10.73,16.0,64.0,21.0,0.9642,3,5
N4_M20,4,20,1,1,1,1,31,14.0,19.75,79.0,23.0,0.9856,3,9
N4_M20,4,20,1,1,2,1,63,28.0,34.75,139.0,37.0,0.9982,21,18
N4_M20,4,20,1,1,3,1,35,15.87,21.5,86.0,25.0,0.9846,11,4
N4_M20,4,20,1,1,4,1,53,24.73,37.0,148.0,41.0,0.9888,8,8
N4_M20,4,20,1,2,0,0,300,105.0,94.25,377.0,123.0,0.9291,347,116
N4_M20,4,20,1,2,1,0,300,78.87,72.0,288.0,94.0,0.9639,239,191
N4_M20,4,20,1,2,2,0,300,63.93,57.0,228.0,71.0,0.9521,123,299
N4_M20,4,20,1,2,3,1,22,10.27,14.25,57.0,17.0,0.9822,6,8
N4_M20,4,20,1,2,4,0,300,55.53,49.75,199.0,81.0,0.8779,142,294
N4_M20,4,20,1,3,0,1,114,41.53,40.25,161.0,47.0,0.979,105,26
N4_M20,4,20,1,3,1,1,56,25.2,32.0,128.0,36.0,0.9918,20,5
N4_M20,4,20,1,3,2,1,172,75.6,80.75,323.0,99.0,0.9544,113,9
N4_M20,4,20,1,3,3,1,63,26.6,32.25,129.0,40.0,0.9754,35,10
N4_M20,4,20,1,3,4,1,94,40.13,46.0,184.0,61.0,0.9442,51,7
N4_M20,4,20,1,4,0,1,98,43.4,46.25,185.0,60.0,0.932,52,14
N4_M20,4,20,1,4,1,1,79,35.0,36.5,146.0,48.0,0.9359,33,25
N4_M20,4,20,1,4,2,1,130,52.73,58.0,232.0,72.0,0.9795,53,26
N4_M20,4,20,1,4,3,1,193,74.67,75.5,302.0,87.0,0.9853,73,56
N4_M20,4,20,1,4,4,0,300,129.73,134.75,539.0,170.0,0.903,203,18
N4_M20,4,20,1,5,0,1,18,8.4,13.75,55.0,17.0,0.9513,0,2
N4_M20,4,20,1,5,1,1,116,52.73,70.25,281.0,74.0,0.9965,28,29
N4_M20,4,20,1,5,2,1,21,9.33,14.25,57.0,19.0,0.9325,8,2
N4_M20,4,20,1,5,3,1,44,19.6,23.0,92.0,26.0,0.9698,21,4
N4_M20,4,20,1,5,4,1,14,6.53,11.5,46.0,14.0,0.9796,0,2
N4_M20,4,20,1,6,0,1,145,63.93,74.75,299.0,86.0,0.982,95,23
N4_M20,4,20,1,6,1,1,76,34.53,43.25,173.0,53.0,0.9701,22,20
N4_M20,4,20,1,6,2,1,204,84.93,88.75,355.0,106.0,0.9709,127,49
N4_M20,4,20,1,6,3,1,57,25.2,34.5,138.0,43.0,0.9764,22,8
N4_M20,4,20,1,6,4,1,78,35.0,42.0,168.0,51.0,0.96,48,8
N4_M20,4,20,1,7,0,1,37,15.87,18.5,74.0,22.0,0.9709,12,12
N4_M20,4,20,1,7,1,1,103,46.2,55.75,223.0,63.0,0.973,48,10
N4_M20,4,20,1,7,2,1,30,14.0,18.0,72.0,22.0,0.9833,11,3
N4_M20,4,20,1,7,3,1,73,30.8,35.5,142.0,38.0,0.9966,54,11
N4_M20,4,20,1,7,4,1,16,7.47,10.0,40.0,14.0,0.8889,3,0
N4_M20,4,20,1,8,0,1,185,75.13,89.25,357.0,103.0,0.9792,113,37
N4_M20,4,20,1,8,1,1,42,19.13,24.25,97.0,27.0,0.9946,12,3
N4_M20,4,20,1,8,2,1,48,21.47,26.0,104.0,29.0,0.989,10,10
N4_M20,4,20,1,8,3,1,118,51.8,66.5,266.0,73.0,0.995,41,30
N4_M20,4,20,1,8,4,1,33,14.47,17.25,69.0,23.0,0.9607,14,8
N4_M20,4,20,1,9,0,1,16,7.47,10.0,40.0,14.0,0.9217,2,2
N4_M20,4,20,1,9,1,1,12,5.6,9.5,38.0,12.0,0.9652,0,0
N4_M20,4,20,1,9,2,1,17,7.93,11.5,46.0,14.0,0.9514,0,0
N4_M20,4,20,1,9,3,1,36,16.8,24.75,99.0,28.0,0.9876,0,0
N4_M20,4,20,1,9,4,1,16,7.47,11.0,44.0,13.0,0.9798,0,4
N4_M20,4,20,2,0,0,1,57,24.27,29.5,118.0,35.0,0.9828,12,26
N4_M20,4,20,2,0,1,1,25,11.2,14.25,57.0,17.0,0.9869,6,5
N4_M20,4,20,2,0,2,1,17,7.93,9.0,36.0,12.0,0.9257,9,4
N4_M20,4,20,2,0,3,1,27,12.6,18.75,75.0,23.0,0.98,2,2
N4_M20,4,20,2,0,4,1,56,24.27,31.5,126.0,35.0,0.9947,13,19
N4_M20,4,20,2,1,0,1,70,31.73,40.25,161.0,50.0,0.97,16,16
N4_M20,4,20,2,1,1,1,33,14.93,18.75,75.0,21.0,0.9827,7,1
N4_M20,4,20,2,1,2,1,34,15.87,23.0,92.0,25.0,0.9953,10,0
N4_M20,4,20,2,1,3,1,63,27.07,35.75,143.0,39.0,0.9925,9,8
N4_M20,4,20,2,1,4,1,26,12.13,17.25,69.0,20.0,0.991,1,0
N4_M20,4,20,2,2,0,1,199,77.93,80.25,321.0,95.0,0.9751,175,31
N4_M20,4,20,2,2,1,1,118,45.27,46.0,184.0,61.0,0.9142,82,27
N4_M20,4,20,2,2,2,1,49,21.0,27.75,111.0,33.0,0.9563,31,5
N4_M20,4,20,2,2,3,1,213,78.4,74.25,297.0,81.0,0.9902,187,67
N4_M20,4,20,2,2,4,1,71,27.53,34.25,137.0,36.0,0.9964,29,35
N4_M20,4,20,2,3,0,1,35,15.4,19.75,79.0,28.0,0.9173,12,7
N4_M20,4,20,2,3,1,1,68,29.87,38.25,153.0,42.0,0.9897,17,11
N4_M20,4,20,2,3,2,1,24,11.2,18.25,73.0,19.0,0.9979,3,0
N4_M20,4,20,2,3,3,1,147,64.4,76.25,305.0,87.0,0.9739,66,30
N4_M20,4,20,2,3,4,1,112,46.67,52.0,208.0,68.0,0.93,58,6
N4_M20,4,20,2,4,0,1,182,81.67,97.75,391.0,128.0,0.9187,126,7
N4_M20,4,20,2,4,1,1,108,49.0,53.5,214.0,78.0,0.8543,82,15
N4_M20,4,20,2,4,2,1,66,27.07,32.5,130.0,36.0,0.9904,33,21
N4_M20,4,20,2,4,3,1,50,22.4,25.25,101.0,35.0,0.9331,31,4
N4_M20,4,20,2,4,4,1,66,30.33,35.0,140.0,47.0,0.9014,47,12
N4_M20,4,20,2,5,0,1,23,10.73,16.75,67.0,19.0,0.9923,3,0
N4_M20,4,20,2,5,1,1,161,69.53,94.5,378.0,107.0,0.9939,53,29
N4_M20,4,20,2,5,2,1,111,49.0,62.75,251.0,73.0,0.9607,43,21
N4_M20,4,20,2,5,3,1,125,55.53,66.75,267.0,79.0,0.9594,65,9
N4_M20,4,20,2,5,4,1,20,9.33,15.25,61.0,20.0,0.9183,9,0
N4_M20,4,20,2,6,0,1,87,39.2,56.5,226.0,61.0,0.9931,31,10
N4_M20,4,20,2,6,1,1,55,25.2,34.0,136.0,39.0,0.9743,9,3
N4_M20,4,20,2,6,2,1,60,26.13,34.25,137.0,36.0,0.9969,25,12
N4_M20,4,20,2,6,3,1,36,16.8,23.5,94.0,28.0,0.9853,13,0
N4_M20,4,20,2,6,4,1,277,112.93,129.0,516.0,151.0,0.9705,60,108
N4_M20,4,20,2,7,0,1,92,38.27,44.5,178.0,54.0,0.9681,43,11
N4_M20,4,20,2,7,1,1,47,19.6,24.0,96.0,27.0,0.9871,26,7
N4_M20,4,20,2,7,2,1,64,26.13,26.75,107.0,32.0,0.9693,41,21
N4_M20,4,20,2,7,3,1,73,29.4,33.0,132.0,42.0,0.9702,52,13
N4_M20,4,20,2,7,4,1,69,29.87,28.5,114.0,40.0,0.8858,41,10
N4_M20,4,20,2,8,0,1,119,51.8,61.75,247.0,68.0,0.995,57,34
N4_M20,4,20,2,8,1,1,48,20.53,22.75,91.0,24.0,0.9987,14,12
N4_M20,4,20,2,8,2,1,34,14.47,17.5,70.0,21.0,0.9831,4,6
N4_M20,4,20,2,8,3,1,108,48.53,58.25,233.0,69.0,0.9559,55,20
N4_M20,4,20,2,8,4,1,47,21.0,25.75,103.0,34.0,0.9558,19,6
N4_M20,4,20,2,9,0,1,18,8.4,10.75,43.0,14.0,0.9046,0,0
N4_M20,4,20,2,9,1,1,15,7.0,9.25,37.0,10.0,0.9807,0,6
N4_M20,4,20,2,9,2,1,18,7.93,12.0,48.0,14.0,0.9863,0,2
N4_M20,4,20,2,9,3,1,37,16.33,22.5,90.0,23.0,0.9985,0,4
N4_M20,4,20,2,9,4,1,26,12.13,17.0,68.0,20.0,0.9847,0,2
