level,seed,method,success,steps,total_distance,n_valid_squares,obstacle_cells
large,20012,ppo,0.6666666666666666,148.33333333333334,248.88888888888889,151,57
large,20012,frontier,1.0,10.0,36.0,151,57
large,20013,ppo,1.0,118.55555555555556,221.88888888888889,152,41
large,20013,frontier,1.0,17.0,67.0,152,41
large,20014,ppo,0.3333333333333333,237.22222222222223,410.1111111111111,107,54
large,20014,frontier,1.0,23.0,74.0,107,54
large,20015,ppo,1.0,59.111111111111114,120.33333333333333,140,45
large,20015,frontier,1.0,12.0,48.0,140,45
large,20016,ppo,0.7777777777777778,189.0,352.6666666666667,109,43
large,20016,frontier,0.0,300.0,84.0,109,43
large,20017,ppo,1.0,16.555555555555557,43.333333333333336,136,52
large,20017,frontier,1.0,5.0,17.0,136,52
large,20018,ppo,0.4444444444444444,256.1111111111111,368.0,123,58
large,20018,frontier,0.0,300.0,124.0,123,58
large,20019,ppo,1.0,47.666666666666664,116.33333333333333,137,49
large,20019,frontier,1.0,12.0,46.0,137,49
dense,20000,ppo,1.0,43.77777777777778,100.0,82,113
dense,20000,frontier,1.0,5.0,18.0,82,113
dense,20001,ppo,1.0,118.88888888888889,189.11111111111111,60,95
dense,20001,frontier,0.0,300.0,103.0,60,95
dense,20002,ppo,0.5555555555555556,231.22222222222223,342.55555555555554,71,125
dense,20002,frontier,0.0,300.0,26.0,71,125
dense,20003,ppo,0.7777777777777778,105.0,196.11111111111111,64,97
dense,20003,frontier,1.0,9.0,35.0,64,97
dense,20004,ppo,0.4444444444444444,270.22222222222223,437.22222222222223,81,124
dense,20004,frontier,0.0,300.0,83.0,81,124
dense,20005,ppo,1.0,53.55555555555556,111.44444444444444,55,103
dense,20005,frontier,1.0,7.0,24.0,55,103
dense,20006,ppo,0.8888888888888888,87.66666666666667,155.33333333333334,83,109
dense,20006,frontier,0.0,300.0,40.0,83,109
dense,20007,ppo,0.2222222222222222,258.55555555555554,370.77777777777777,57,121
dense,20007,frontier,1.0,17.0,59.0,57,121
dense,20008,ppo,0.3333333333333333,253.44444444444446,475.44444444444446,58,104
dense,20008,frontier,0.0,300.0,39.0,58,104
dense,20009,ppo,0.1111111111111111,299.1111111111111,401.55555555555554,74,121
dense,20009,frontier,0.0,300.0,43.0,74,121
dense,20010,ppo,1.0,106.22222222222223,192.0,38,118
dense,20010,frontier,0.0,300.0,26.0,38,118
dense,20011,ppo,0.0,300.0,391.8888888888889,44,117
dense,20011,frontier,0.0,300.0,70.0,44,117
dense,20012,ppo,0.3333333333333333,233.55555555555554,413.44444444444446,81,105
dense,20012,frontier,1.0,12.0,46.0,81,105
dense,20013,ppo,0.6666666666666666,145.77777777777777,205.77777777777777,90,108
dense,20013,frontier,0.0,300.0,108.0,90,108
dense,20014,ppo,0.1111111111111111,297.22222222222223,458.22222222222223,53,123
dense,20014,frontier,0.0,300.0,46.0,53,123
dense,20015,ppo,1.0,60.888888888888886,123.22222222222223,50,109
dense,20015,frontier,1.0,4.0,16.0,50,109
dense,20016,ppo,0.1111111111111111,290.6666666666667,393.3333333333333,31,127
dense,20016,frontier,0.0,300.0,37.0,31,127
dense,20017,ppo,0.6666666666666666,251.0,384.44444444444446,46,98
dense,20017,frontier,1.0,44.0,125.0,46,98
dense,20018,ppo,0.0,300.0,376.22222222222223,40,116
dense,20018,frontier,0.0,300.0,161.0,40,116
dense,20019,ppo,0.2222222222222222,272.0,349.22222222222223,37,130
dense,20019,frontier,0.0,300.0,32.0,37,130
