config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N3_M20,3,20,1,3,4,1,31,14.47,18.0,72.0,28.0,0.9863,3,1
N3_M20,3,20,1,4,0,1,41,16.8,18.0,72.0,31.0,0.9162,20,1
N3_M20,3,20,1,4,1,1,34,14.47,15.5,62.0,23.0,0.9902,12,2
N3_M20,3,20,1,4,2,1,84,35.47,35.25,141.0,58.0,0.9648,37,9
N3_M20,3,20,1,4,3,1,44,18.2,17.25,69.0,32.0,0.9158,20,6
N3_M20,3,20,1,4,4,1,63,26.13,25.25,101.0,46.0,0.8398,40,2
N3_M20,3,20,1,5,0,1,87,31.73,26.0,104.0,46.0,0.9183,36,15
N3_M20,3,20,1,5,1,1,75,28.93,28.0,112.0,42.0,0.9697,34,12
N3_M20,3,20,1,5,2,1,154,49.0,41.0,164.0,73.0,0.9356,139,14
N3_M20,3,20,1,5,3,1,137,43.4,35.75,143.0,52.0,0.9923,79,25
N3_M20,3,20,1,5,4,1,36,15.4,15.0,60.0,25.0,0.9662,11,8
N3_M20,3,20,1,6,0,1,105,45.73,44.75,179.0,73.0,0.932,39,2
N3_M20,3,20,1,6,1,1,34,14.47,17.5,70.0,27.0,0.9851,4,2
N3_M20,3,20,1,6,2,1,27,12.6,15.75,63.0,23.0,0.994,6,0
N3_M20,3,20,1,6,3,1,25,11.67,14.25,57.0,24.0,0.9627,2,0
N3_M20,3,20,1,6,4,1,66,28.47,27.0,108.0,48.0,0.8648,50,0
N3_M20,3,20,1,7,0,1,230,87.73,72.25,289.0,137.0,0.8345,178,19
N3_M20,3,20,1,7,1,1,106,41.07,37.5,150.0,66.0,0.9321,68,11
N3_M20,3,20,1,7,2,1,87,32.67,30.0,120.0,53.0,0.9101,62,9
N3_M20,3,20,1,7,3,1,95,33.6,26.75,107.0,60.0,0.7923,62,12
N3_M20,3,20,1,7,4,1,173,62.53,51.25,205.0,92.0,0.8444,146,8
N3_M20,3,20,1,8,0,1,167,63.93,55.25,221.0,98.0,0.9119,120,6
N3_M20,3,20,1,8,1,1,73,28.0,26.5,106.0,41.0,0.9841,39,6
N3_M20,3,20,1,8,2,1,109,39.2,36.25,145.0,54.0,0.9897,33,15
N3_M20,3,20,1,8,3,1,58,23.8,20.25,81.0,37.0,0.8872,33,6
N3_M20,3,20,1,8,4,1,38,15.4,14.5,58.0,27.0,0.8971,22,0
N3_M20,3,20,1,9,0,1,17,7.93,7.75,31.0,12.0,0.9856,2,0
N3_M20,3,20,1,9,1,1,43,18.2,18.0,72.0,28.0,0.9818,14,0
N3_M20,3,20,1,9,2,1,36,16.33,17.5,70.0,24.0,0.9996,1,3
N3_M20,3,20,1,9,3,1,9,4.2,5.0,20.0,8.0,0.9662,0,0
N3_M20,3,20,1,9,4,1,18,8.4,9.5,38.0,14.0,0.9904,0,0
N3_M20,3,20,2,0,0,1,23,10.73,12.25,49.0,17.0,0.9992,0,5
N3_M20,3,20,2,0,1,1,31,13.07,14.0,56.0,20.0,0.9956,7,5
N3_M20,3,20,2,0,2,1,74,33.13,33.75,135.0,53.0,0.9841,18,2
N3_M20,3,20,2,0,3,1,43,19.6,21.75,87.0,31.0,0.9945,9,0
N3_M20,3,20,2,0,4,1,61,26.6,25.75,103.0,37.0,0.9947,11,4
N3_M20,3,20,2,1,0,1,65,27.07,27.0,108.0,37.0,0.9985,19,4
N3_M20,3,20,2,1,1,1,56,23.8,20.75,83.0,36.0,0.9023,21,0
N3_M20,3,20,2,1,2,1,91,36.87,37.75,151.0,58.0,0.9854,31,7
N3_M20,3,20,2,1,3,1,24,11.2,12.75,51.0,20.0,0.9709,4,1
N3_M20,3,20,2,1,4,1,120,48.07,42.75,171.0,67.0,0.984,57,8
N3_M20,3,20,2,2,0,1,84,34.53,32.0,128.0,53.0,0.9571,32,7
N3_M20,3,20,2,2,1,1,85,29.87,27.0,108.0,40.0,0.9813,33,12
N3_M20,3,20,2,2,2,1,114,44.8,36.0,144.0,71.0,0.8841,64,6
N3_M20,3,20,2,2,3,1,36,15.4,14.25,57.0,26.0,0.9328,25,1
N3_M20,3,20,2,2,4,1,42,16.8,16.25,65.0,24.0,0.9939,25,5
N3_M20,3,20,2,3,0,1,63,28.0,26.5,106.0,49.0,0.8905,34,0
N3_M20,3,20,2,3,1,1,30,13.53,12.0,48.0,21.0,0.9481,21,0
N3_M20,3,20,2,3,2,1,81,35.0,33.25,133.0,51.0,0.968,21,1
N3_M20,3,20,2,3,3,1,125,49.47,46.5,186.0,68.0,0.9892,67,2
N3_M20,3,20,2,3,4,1,65,28.0,25.25,101.0,41.0,0.963,37,4
N3_M20,3,20,2,4,0,1,22,9.33,9.5,38.0,14.0,0.9904,9,2
N3_M20,3,20,2,4,1,1,42,14.0,12.5,50.0,20.0,0.9601,27,12
N3_M20,3,20,2,4,2,1,59,22.87,21.25,85.0,32.0,0.9866,32,8
N3_M20,3,20,2,4,3,1,17,7.93,8.75,35.0,14.0,0.9792,2,0
N3_M20,3,20,2,4,4,1,53,21.47,22.0,88.0,38.0,0.892,31,4
N3_M20,3,20,2,5,0,1,51,19.6,20.0,80.0,29.0,0.9941,35,4
N3_M20,3,20,2,5,1,1,49,21.47,21.75,87.0,34.0,0.9852,16,0
N3_M20,3,20,2,5,2,1,29,11.67,13.5,54.0,22.0,0.9455,13,3
N3_M20,3,20,2,5,3,1,61,26.6,26.75,107.0,37.0,0.9972,21,1
N3_M20,3,20,2,5,4,1,193,73.27,59.0,236.0,97.0,0.9526,153,21
N3_M20,3,20,2,6,0,1,45,17.73,16.25,65.0,30.0,0.8953,37,0
N3_M20,3,20,2,6,1,1,21,9.33,11.5,46.0,18.0,0.9851,4,0
N3_M20,3,20,2,6,2,1,25,11.2,13.75,55.0,20.0,0.9915,5,2
N3_M20,3,20,2,6,3,1,270,103.6,85.75,343.0,166.0,0.9073,146,8
N3_M20,3,20,2,6,4,1,36,14.0,14.0,56.0,22.0,0.9843,27,1
N3_M20,3,20,2,7,0,1,85,34.07,30.25,121.0,47.0,0.9767,41,4
N3_M20,3,20,2,7,1,1,100,37.8,32.75,131.0,53.0,0.9616,57,13
N3_M20,3,20,2,7,2,1,49,19.13,17.0,68.0,26.0,0.9842,22,1
N3_M20,3,20,2,7,3,1,94,31.27,25.75,103.0,48.0,0.9121,85,2
N3_M20,3,20,2,7,4,1,45,17.73,15.5,62.0,24.0,0.9634,25,4
N3_M20,3,20,2,8,0,1,216,62.07,51.0,204.0,88.0,0.9428,133,54
N3_M20,3,20,2,8,1,1,65,20.53,20.5,82.0,31.0,0.9736,37,7
N3_M20,3,20,2,8,2,1,70,24.27,20.5,82.0,32.0,0.9822,30,4
