config,method,heuristic,train_seed,n_maps,success_rate,steps_mean,steps_std,total_dist_mean,total_dist_std,max_dist_mean,max_dist_std,jain_mean,jain_std
N2_M20,ppo,,0,20,1.0,29.12000000000001,30.2968909295987,28.940000000000005,23.246685785289912,17.43,14.054931518865539,0.9266164990218095,0.058410650674238083
N2_M20,ppo,,1,20,0.99,27.709999999999997,25.96740071705291,30.099999999999994,23.566119748486383,17.569999999999997,14.05663900084227,0.9513403922361061,0.04344132344262055
N2_M20,ppo,,2,20,1.0,23.79,25.868936970815014,27.840000000000003,22.27937162489104,15.999999999999996,13.252018714143139,0.9563696714563305,0.04468883112219655
N2_M20,ppo,,mean,20,0.9966666666666667,26.873333333333335,26.472038917401967,28.959999999999997,21.769840503677457,16.999999999999996,13.077291598628346,0.9447755209047489,0.04474524812831934
N2_M20,astar,median,-1,20,1.0,10.7,9.11098238391448,13.1,7.1965269401288285,7.15,4.150602365922325,0.9876506739386837,0.021992242320331336
N2_M20,astar,component,-1,20,1.0,18.95,11.342288128944706,22.85,15.675697751615395,13.05,8.151533598041537,0.9103160582274954,0.1448769366190562
N2_M20,astar,bbox,-1,20,1.0,10.5,7.940403012442126,12.9,6.847627326307997,7.05,3.9556921012636965,0.9874294350006305,0.021888910557534037
N3_M20,ppo,,0,20,1.0,52.889999999999986,28.501542063544562,90.41,43.81394640979057,36.040000000000006,17.060316526958108,0.9648650758232804,0.013568579547021902
N3_M20,ppo,,1,20,1.0,53.74000000000001,25.09454920894177,87.76,36.54698893205841,35.059999999999995,14.619315989470916,0.9638093256077612,0.019508915290668706
N3_M20,ppo,,2,20,0.9700000000000001,61.31,35.50146335012122,101.53999999999999,55.02279891099688,41.459999999999994,22.509473561147537,0.9560841860465784,0.021539635743554136
N3_M20,ppo,,mean,20,0.99,55.980000000000004,25.298731632677203,93.23666666666666,38.79143361906366,37.519999999999996,15.454759784610046,0.9615861958258733,0.013579420312599452
N3_M20,astar,median,-1,20,1.0,16.8,9.468896451012652,19.05,5.962172422867356,12.15,5.1987979379852804,0.6596874015378924,0.16260033266675977
N3_M20,astar,component,-1,20,1.0,24.3,13.293231360357796,37.45,17.864699829552134,16.3,6.9144775652250114,0.9059738831889204,0.09605512419588849
N3_M20,astar,bbox,-1,20,1.0,19.55,12.399495957497626,26.7,9.492628719169417,10.5,3.653765181289022,0.9503051895406056,0.08102715393005275
N4_M20,ppo,,0,20,0.93,92.82999999999998,62.77191330523548,190.42000000000002,102.32878187489578,57.31999999999999,30.04352842127569,0.9669256714841208,0.015182886261560816
N4_M20,ppo,,1,20,0.9400000000000001,83.36,58.92047521872171,169.14,89.05252607309913,51.379999999999995,27.263668131783,0.9641586150971679,0.021164999203783154
N4_M20,ppo,,2,20,0.9200000000000002,90.35,57.76808374872755,194.45,107.80235387040489,59.19,34.898565873112894,0.9614499953508797,0.026435222210787264
N4_M20,ppo,,mean,20,0.93,88.84666666666666,49.821780600679276,184.67,84.18943315853573,55.96333333333333,26.24480879886323,0.9641780939773892,0.015978932145173555
N4_M20,astar,median,-1,20,0.95,45.3,62.802149644737476,37.65,22.057368383377014,16.5,12.882158204276175,0.7673439423526924,0.15888517932710863
N4_M20,astar,component,-1,20,1.0,46.65,45.0269641437217,68.3,53.12918218832283,21.45,14.238943078754124,0.9122008006041534,0.12282800009392401
N4_M20,astar,bbox,-1,20,1.0,53.95,59.16204442038832,47.25,19.120342570152868,15.65,7.932685547782668,0.9296371383245804,0.07351009877231489
N5_M20,ppo,,0,20,0.8099999999999999,141.01,68.56148991963346,333.33,120.18011940416767,84.21000000000001,32.13045128845843,0.9612977053752767,0.02533135193419599
N5_M20,ppo,,1,20,0.8800000000000001,128.25000000000003,64.50438357197129,316.5299999999999,133.86849181192713,81.55000000000001,38.46010270397104,0.9589058114737806,0.026522426232565198
N5_M20,ppo,,2,20,0.86,123.57000000000001,65.93306530110671,312.77,111.048588914943,76.08999999999999,29.013960432867485,0.9700552915841174,0.017093868718883565
N5_M20,ppo,,mean,20,0.85,130.94333333333333,53.854273636257396,320.87666666666667,96.92475495053998,80.61666666666666,26.755268432383346,0.9634196028110583,0.018718395323114437
N5_M20,astar,median,-1,20,1.0,36.05,26.140916204295518,43.4,11.573245007343447,14.75,3.462296925452813,0.7887627207775971,0.12778154477709328
N5_M20,astar,component,-1,20,0.9,77.7,85.87846062896098,97.4,76.42407997483517,27.35,22.07323039339734,0.9003484235526926,0.10250392906337119
N5_M20,astar,bbox,-1,20,0.95,57.6,68.6457573343029,58.05,25.40565881846011,15.0,6.557438524302,0.9395680572538442,0.05267326518780616
N5_M25,ppo,,0,20,0.9099999999999999,102.96999999999998,58.04406171177203,282.68000000000006,134.13434161317525,71.49,35.76783331430631,0.9599204775275222,0.023658548339699458
N5_M25,ppo,,1,20,0.8400000000000001,130.23,67.4773821365352,343.92999999999995,142.48510483555816,86.83000000000001,41.002208477105235,0.9592500021457319,0.03799540811137987
N5_M25,ppo,,2,20,0.85,122.21,63.045078317026466,310.1,137.56652935943393,78.01000000000002,35.84809478898425,0.9553203321237212,0.02378558966811466
