method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,jain,wall_ms_per_step
ppo,,4,20,2,12,1.0,69.2,151.8,46.6,0.97745181247422,0.8337080924855496
ppo,,4,20,2,13,1.0,106.0,211.0,63.6,0.9737333646099791,0.806184339622637
ppo,,4,20,2,14,1.0,67.8,148.0,45.4,0.9611782441375667,0.9612238938052978
ppo,,4,20,2,15,1.0,81.0,162.2,51.2,0.9700409527050505,0.8916903703703698
ppo,,4,20,2,16,1.0,19.2,46.2,16.0,0.9244430734999503,0.7981614583333722
ppo,,4,20,2,17,0.8,166.4,361.6,116.2,0.9259613862427785,0.8591423076923083
ppo,,4,20,2,18,1.0,38.8,101.8,29.0,0.9856382381398742,0.8806592783505066
ppo,,4,20,2,19,0.8,165.6,327.4,93.8,0.9811436901516352,0.7971260869565224
ppo,,5,20,0,0,1.0,88.4,261.6,66.8,0.9723201462873062,0.8114201357466037
astar,median,5,20,-1,0,True,13,35,12,0.7632398753894081,
astar,component,5,20,-1,0,True,106,82,23,0.9510608203677511,
astar,bbox,5,20,-1,0,False,300,149,39,0.9612903225806452,
ppo,,5,20,0,1,1.0,69.8,198.2,44.6,0.9890070008603523,0.863506303724917
astar,median,5,20,-1,1,True,12,38,12,0.8494117647058823,
astar,component,5,20,-1,1,True,80,79,18,0.9945816733067729,
astar,bbox,5,20,-1,1,True,44,52,12,0.9797101449275363,
ppo,,5,20,0,2,0.0,300.0,336.6,98.2,0.90644449273025,0.8742850666666678
astar,median,5,20,-1,2,True,87,40,13,0.8648648648648649,
astar,component,5,20,-1,2,True,198,168,36,0.9966101694915255,
astar,bbox,5,20,-1,2,True,77,41,10,0.9578347578347578,
ppo,,5,20,0,3,1.0,177.4,495.8,118.4,0.9783635661701053,0.8287109357384479
astar,median,5,20,-1,3,True,27,59,17,0.8757232704402516,
astar,component,5,20,-1,3,True,77,95,27,0.9545214172395557,
astar,bbox,5,20,-1,3,True,87,66,17,0.974496644295302,
ppo,,5,20,0,4,1.0,195.2,456.8,121.6,0.9255464000290665,0.8725311475409827
astar,median,5,20,-1,4,True,60,52,14,0.845,
astar,component,5,20,-1,4,True,16,50,11,0.984251968503937,
astar,bbox,5,20,-1,4,True,16,54,12,0.9884745762711864,
ppo,,5,20,0,5,1.0,82.2,210.2,50.0,0.9709227743959626,0.8605965936739666
astar,median,5,20,-1,5,True,14,31,11,0.6696864111498257,
astar,component,5,20,-1,5,True,15,37,12,0.8222222222222222,
astar,bbox,5,20,-1,5,True,16,44,13,0.9175355450236967,
ppo,,5,20,0,6,0.8,117.6,314.4,77.6,0.9725566911940617,0.9028136054421814
astar,median,5,20,-1,6,True,18,53,13,0.9316749585406302,
astar,component,5,20,-1,6,True,90,107,26,0.9857081360309944,
astar,bbox,5,20,-1,6,True,21,51,12,0.9544954128440367,
ppo,,5,20,0,7,1.0,76.8,191.6,47.2,0.9732023888676826,0.8590489583333305
astar,median,5,20,-1,7,True,61,26,11,0.689795918367347,
astar,component,5,20,-1,7,True,11,25,8,0.8503401360544217,
astar,bbox,5,20,-1,7,True,27,39,12,0.8766570605187319,
ppo,,5,20,0,8,0.6,152.6,328.8,86.0,0.9659292420587476,0.910568545216257
astar,median,5,20,-1,8,True,10,35,10,0.9386973180076629,
astar,component,5,20,-1,8,True,44,84,22,0.9321003963011889,
astar,bbox,5,20,-1,8,True,16,43,11,0.9757255936675462,
ppo,,5,20,0,9,0.2,246.2,567.8,158.4,0.8941326800552083,0.8938132412672594
astar,median,5,20,-1,9,True,44,48,17,0.8199288256227758,
astar,component,5,20,-1,9,True,18,59,15,0.9523939808481532,
astar,bbox,5,20,-1,9,True,23,44,13,0.8921658986175115,
ppo,,5,20,0,10,1.0,97.4,262.4,61.0,0.981948273222284,0.9244759753593415
astar,median,5,20,-1,10,True,64,47,14,0.9109278350515464,
astar,component,5,20,-1,10,True,23,64,17,0.9592505854800937,
astar,bbox,5,20,-1,10,True,19,56,14,0.9679012345679012,
ppo,,5,20,0,11,1.0,131.8,409.6,97.0,0.9809052751485163,0.9891550834597844
astar,median,5,20,-1,11,True,46,51,16,0.8922813036020584,
astar,component,5,20,-1,11,True,71,77,18,0.9824357912178956,
astar,bbox,5,20,-1,11,True,14,51,14,0.933931777378815,
ppo,,5,20,0,12,0.8,124.2,312.2,83.4,0.9396651250007928,1.0206578099838968
astar,median,5,20,-1,12,True,28,37,20,0.5645360824742268,
astar,component,5,20,-1,12,True,65,63,21,0.8489839572192514,
astar,bbox,5,20,-1,12,True,26,49,11,0.9901030927835052,
ppo,,5,20,0,13,1.0,142.6,324.6,82.2,0.9479093724548996,0.9635576437587654
astar,median,5,20,-1,13,True,88,65,23,0.8596134282807731,
astar,component,5,20,-1,13,False,300,257,98,0.6291879018814003,
astar,bbox,5,20,-1,13,True,81,66,15,0.9469565217391305,
ppo,,5,20,0,14,1.0,120.6,274.0,66.4,0.9763858521164597,0.867511276948593
astar,median,5,20,-1,14,True,22,43,20,0.5577677224736048,
astar,component,5,20,-1,14,True,33,118,31,0.9662734212352533,
astar,bbox,5,20,-1,14,True,16,48,12,0.9804255319148936,
ppo,,5,20,0,15,1.0,88.0,258.6,62.2,0.9782282660264091,0.8537809090908994
astar,median,5,20,-1,15,True,13,32,13,0.5720670391061452,
astar,component,5,20,-1,15,True,43,79,34,0.7312243702401875,
astar,bbox,5,20,-1,15,True,90,78,18,0.9781350482315112,
ppo,,5,20,0,16,1.0,122.2,299.0,73.4,0.9671626137336743,0.8119261865793808
astar,median,5,20,-1,16,True,13,27,12,0.6422907488986784,
astar,component,5,20,-1,16,True,14,32,13,0.7262411347517731,
astar,bbox,5,20,-1,16,True,10,34,10,0.8562962962962963,
ppo,,5,20,0,17,0.0,300.0,639.2,154.4,0.9687836971279957,1.0006443999999988
astar,median,5,20,-1,17,True,16,51,15,0.8626865671641791,
astar,component,5,20,-1,17,True,38,85,25,0.8773527625986642,
astar,bbox,5,20,-1,17,True,88,69,17,0.9627906976744186,
ppo,,5,20,0,18,1.0,64.6,199.4,47.4,0.9807635819179786,1.13183808049534
astar,median,5,20,-1,18,True,13,33,13,0.7188118811881188,
astar,component,5,20,-1,18,True,12,41,12,0.868733850129199,
astar,bbox,5,20,-1,18,True,12,34,12,0.7758389261744967,
ppo,,5,20,0,19,0.8,122.6,325.8,88.0,0.9557766681077761,0.9150066884176188
astar,median,5,20,-1,19,True,72,65,19,0.9462486002239642,
astar,component,5,20,-1,19,False,300,346,80,0.99349377593361,
astar,bbox,5,20,-1,19,True,169,93,26,0.9205960617349654,
ppo,,5,20,1,0,1.0,131.8,359.2,84.4,0.9846205328251243,0.9979037936267061
ppo,,5,20,1,1,1.0,58.4,168.0,41.6,0.9720864756995754,0.9170013698630043
ppo,,5,20,1,2,0.6,204.4,337.2,97.4,0.9315945786240709,0.9507401174168303
ppo,,5,20,1,3,1.0,113.4,303.6,76.8,0.9722139108709472,0.9472201058201088
ppo,,5,20,1,4,1.0,210.6,480.0,143.4,0.908492304680666,0.9243131054131059
ppo,,5,20,1,5,1.0,149.2,347.8,88.8,0.9710973112133845,0.9211333780160843
ppo,,5,20,1,6,0.8,140.8,404.2,94.4,0.978458531895979,0.9390025568181845
ppo,,5,20,1,7,1.0,48.4,117.2,34.6,0.9125944944263914,0.8315119834710627
ppo,,5,20,1,8,1.0,95.4,290.2,66.4,0.9851476117036949,0.7949532494758853
ppo,,5,20,1,9,0.4,224.4,503.2,153.4,0.8928217931657573,0.845869964349379
ppo,,5,20,1,10,1.0,74.0,192.8,46.6,0.972449089513675,0.9211627027027005
ppo,,5,20,1,11,1.0,71.2,227.8,53.4,0.9805191110793341,0.8802224719101144
ppo,,5,20,1,12,1.0,111.8,280.8,72.8,0.9540318165528461,0.8517774597495533
ppo,,5,20,1,13,0.8,182.4,434.8,106.2,0.953523504810349,0.8749175438596459
ppo,,5,20,1,14,1.0,92.8,221.0,55.4,0.9654517373912522,0.8742497844827483
ppo,,5,20,1,15,1.0,102.4,279.2,68.4,0.9744391603032547,0.8408148437500096
ppo,,5,20,1,16,1.0,58.8,176.4,40.4,0.979378520224731,0.8893829931972917
ppo,,5,20,1,17,0.0,300.0,695.4,181.0,0.9436550110173844,0.9355343333333318
ppo,,5,20,1,18,1.0,79.0,212.4,52.2,0.9700982388727418,0.9409367088607818
ppo,,5,20,1,19,1.0,115.8,299.4,73.4,0.9754424946044556,0.9492084628670253
ppo,,5,20,2,0,1.0,65.8,201.4,46.2,0.986157272158313,1.0082677811550531
ppo,,5,20,2,1,1.0,106.0,316.6,73.6,0.9820453506879245,0.8583060377358612
ppo,,5,20,2,2,1.0,140.8,332.0,84.6,0.9382372236203931,0.9761822443181891
ppo,,5,20,2,3,1.0,83.2,257.6,62.2,0.9736250087254177,1.0671341346154124
ppo,,5,20,2,4,1.0,100.0,253.0,62.4,0.9687172707259657,0.9724841999999967
ppo,,5,20,2,5,1.0,138.8,342.2,79.0,0.9832740397959607,0.9829090778097958
ppo,,5,20,2,6,1.0,89.2,304.4,67.4,0.9930378962083708,0.9641387892376628
ppo,,5,20,2,7,0.6,212.0,462.2,116.8,0.9350031475561039,0.8575773584905759
ppo,,5,20,2,8,0.2,244.8,471.0,116.8,0.9739657676948756,0.8763614379084875
ppo,,5,20,2,9,1.0,126.8,341.6,77.2,0.989186608187923,0.8495359621451091
ppo,,5,20,2,10,1.0,96.4,278.0,69.2,0.9740428899530178,0.91639585062241
ppo,,5,20,2,11,1.0,74.8,230.8,56.0,0.9711711346769398,0.8311713903743432
ppo,,5,20,2,12,1.0,47.2,130.4,35.2,0.9458221592141889,0.909667796610194
ppo,,5,20,2,13,1.0,107.2,317.4,74.6,0.9754936767736219,0.9375970149253625
ppo,,5,20,2,14,1.0,80.6,219.0,55.2,0.9632554252662485,0.8981431761786394
ppo,,5,20,2,15,1.0,59.8,187.4,45.2,0.9749734769571823,0.928387959866202
ppo,,5,20,2,16,1.0,78.6,225.0,52.2,0.9807568243239976,0.9365541984732737
ppo,,5,20,2,17,0.0,300.0,598.2,156.8,0.9362281059086438,0.8604364666666697
ppo,,5,20,2,18,0.4,214.4,464.8,114.6,0.9758274449857585,0.933432089552234
ppo,,5,20,2,19,1.0,105.0,322.4,76.6,0.9802851082615008,0.8491559999999881
ppo,,5,25,0,0,1.0,50.4,164.2,38.6,0.9855583714456625,0.8435837301587434
astar,median,5,25,-1,0,True,11,26,11,0.6828282828282828,
astar,component,5,25,-1,0,True,13,44,11,0.9536945812807882,
astar,bbox,5,25,-1,0,True,9,34,9,0.9475409836065574,
ppo,,5,25,0,1,1.0,24.6,86.4,22.6,0.9657037510160323,0.865393495934987
astar,median,5,25,-1,1,True,16,28,16,0.4584795321637427,
astar,component,5,25,-1,1,True,23,40,21,0.5797101449275363,
astar,bbox,5,25,-1,1,True,42,46,15,0.853225806451613,
ppo,,5,25,0,2,1.0,39.6,133.6,32.0,0.9788386041879612,0.9504853535353484
astar,median,5,25,-1,2,True,12,41,12,0.855470737913486,
astar,component,5,25,-1,2,True,17,75,17,0.9673258813413586,
astar,bbox,5,25,-1,2,True,167,105,24,0.9919028340080972,
ppo,,5,25,0,3,1.0,181.2,481.4,131.4,0.9119208832651688,0.926474061810161
astar,median,5,25,-1,3,True,21,62,21,0.7378119001919385,
astar,component,5,25,-1,3,True,240,265,59,0.9939140895902625,
astar,bbox,5,25,-1,3,True,36,105,26,0.9778270509977827,
ppo,,5,25,0,4,1.0,80.8,229.4,56.4,0.9706051553170495,0.9133693069306921
astar,median,5,25,-1,4,True,16,35,15,0.6265984654731458,
astar,component,5,25,-1,4,True,13,50,12,0.9578544061302682,
astar,bbox,5,25,-1,4,True,17,49,14,0.9397260273972603,
ppo,,5,25,0,5,1.0,126.2,342.2,83.0,0.9793315277844441,0.9237976228209093
astar,median,5,25,-1,5,True,148,98,25,0.9575274177467598,
astar,component,5,25,-1,5,True,231,205,60,0.8759770713913496,
astar,bbox,5,25,-1,5,True,21,71,19,0.8977738201246661,
ppo,,5,25,0,6,1.0,101.2,338.0,79.2,0.9738648951451394,0.927496442687751
astar,median,5,25,-1,6,True,181,125,29,0.9606517061174301,
astar,component,5,25,-1,6,True,48,97,22,0.9909426013691417,
astar,bbox,5,25,-1,6,True,17,67,16,0.9643394199785177,
ppo,,5,25,0,7,0.6,169.0,393.4,105.0,0.9211363292687043,0.857843668639048
astar,median,5,25,-1,7,True,41,57,21,0.752954808806489,
astar,component,5,25,-1,7,True,25,81,23,0.914425087108014,
astar,bbox,5,25,-1,7,True,18,58,18,0.8389027431421446,
ppo,,5,25,0,8,1.0,38.4,129.6,30.8,0.9770763786554362,0.9054437500000123
astar,median,5,25,-1,8,True,15,45,15,0.867237687366167,
astar,component,5,25,-1,8,True,16,57,16,0.9486131386861314,
astar,bbox,5,25,-1,8,True,13,48,13,0.9070866141732283,
ppo,,5,25,0,9,1.0,139.0,375.2,104.0,0.914088281568876,0.849269352517994
astar,median,5,25,-1,9,True,54,78,24,0.9135135135135135,
astar,component,5,25,-1,9,True,40,160,35,0.9961089494163424,
astar,bbox,5,25,-1,9,True,77,89,24,0.9701163502755664,
ppo,,5,25,0,10,1.0,74.4,225.4,56.2,0.9518586009574707,0.8749088709677416
astar,median,5,25,-1,10,True,20,33,13,0.6462908011869436,
astar,component,5,25,-1,10,True,14,46,13,0.9404444444444444,
astar,bbox,5,25,-1,10,True,21,51,15,0.8598347107438017,
ppo,,5,25,0,11,1.0,73.2,214.0,59.6,0.9480505003528842,0.8366836065573704
astar,median,5,25,-1,11,True,15,34,13,0.7458064516129033,
astar,component,5,25,-1,11,True,46,61,14,0.9856953642384106,
astar,bbox,5,25,-1,11,True,74,66,15,0.992255125284738,
ppo,,5,25,0,12,0.6,185.6,442.8,106.8,0.9594336719909835,0.8810730603448177
astar,median,5,25,-1,12,True,17,61,16,0.8933973589435774,
astar,component,5,25,-1,12,True,30,102,29,0.9553719008264463,
astar,bbox,5,25,-1,12,True,48,98,23,0.985025641025641,
ppo,,5,25,0,13,1.0,68.6,211.6,50.6,0.9813680006716318,1.0407204081632404
astar,median,5,25,-1,13,True,21,59,21,0.818096357226792,
astar,component,5,25,-1,13,True,59,103,26,0.9800461893764434,
astar,bbox,5,25,-1,13,True,19,79,19,0.9759186864738076,
ppo,,5,25,0,14,1.0,30.0,106.4,25.0,0.9864084205554476,1.3970466666666919
astar,median,5,25,-1,14,True,15,40,15,0.7476635514018691,
astar,component,5,25,-1,14,True,15,47,15,0.8925252525252525,
astar,bbox,5,25,-1,14,True,12,47,12,0.9625272331154684,
ppo,,5,25,0,15,1.0,92.0,275.0,73.8,0.95389577385441,0.9473263043478243
astar,median,5,25,-1,15,True,23,59,23,0.675266731328807,
astar,component,5,25,-1,15,True,33,98,28,0.9462068965517242,
astar,bbox,5,25,-1,15,True,18,72,18,0.9671641791044776,
ppo,,5,25,0,16,1.0,63.8,229.8,52.6,0.9886841658486935,0.9364420062696068
astar,median,5,25,-1,16,True,24,46,24,0.5734417344173441,
astar,component,5,25,-1,16,True,49,80,27,0.8839779005524862,
astar,bbox,5,25,-1,16,True,18,74,17,0.9813620071684588,
ppo,,5,25,0,17,0.4,216.8,579.8,148.0,0.9408960102183677,0.9627476014760146
astar,median,5,25,-1,17,True,22,54,22,0.7673684210526316,
astar,component,5,25,-1,17,True,24,96,24,0.9610010427528676,
astar,bbox,5,25,-1,17,True,17,63,17,0.9113662456946039,
ppo,,5,25,0,18,0.8,113.8,241.6,57.2,0.972346258752195,0.9218282952548437
astar,median,5,25,-1,18,True,23,51,19,0.8192125984251969,
astar,component,5,25,-1,18,True,57,90,22,0.9608540925266904,
astar,bbox,5,25,-1,18,True,18,53,14,0.9473861720067454,
ppo,,5,25,0,19,0.8,190.8,453.8,117.0,0.9373439696938833,0.9731675052410934
astar,median,5,25,-1,19,True,24,54,24,0.6642369020501139,
astar,component,5,25,-1,19,True,24,86,19,0.9809018567639257,
astar,bbox,5,25,-1,19,True,20,85,20,0.9704499664204164,
ppo,,5,25,1,0,1.0,80.0,270.0,59.4,0.9932832484748157,1.0549155
ppo,,5,25,1,1,1.0,137.6,355.2,84.4,0.9716756951642118,0.8943962209302329
ppo,,5,25,1,2,0.8,95.6,215.8,56.6,0.9738171439368287,0.9374834728033569
ppo,,5,25,1,3,1.0,137.0,388.2,97.6,0.9633877411601997,0.8595116788321078
ppo,,5,25,1,4,0.6,210.2,515.2,149.0,0.8734118227833075,0.8873829686013394
ppo,,5,25,1,5,1.0,101.0,278.4,68.6,0.9652506073308406,1.0037578217821705
ppo,,5,25,1,6,1.0,64.6,208.6,49.0,0.9829637153404592,1.0255328173374576
ppo,,5,25,1,7,1.0,89.6,254.8,60.6,0.9756857911748549,0.8611301339285861
ppo,,5,25,1,8,1.0,97.6,298.2,75.0,0.9675446440205941,0.8631522540983453
ppo,,5,25,1,9,0.6,192.2,519.6,139.8,0.9112272224530047,0.9543067637877232
ppo,,5,25,1,10,0.8,132.0,337.0,79.8,0.9750297292039466,0.937620303030318
ppo,,5,25,1,11,1.0,105.8,310.6,71.4,0.9878449884091207,0.9334302457466879
ppo,,5,25,1,12,0.2,256.4,452.8,117.6,0.9671932546900857,0.9171590483619283
ppo,,5,25,1,13,1.0,168.6,462.8,111.0,0.9759406984274172,0.9359051008303642
ppo,,5,25,1,14,1.0,40.6,126.0,30.6,0.9752514444447027,0.9240403940886666
ppo,,5,25,1,15,1.0,53.8,190.2,43.0,0.9895087256963662,0.9126107806691797
ppo,,5,25,1,16,1.0,49.2,154.8,38.4,0.9715471810764329,0.9582040650406829
ppo,,5,25,1,17,0.8,172.4,456.4,120.0,0.95671417367269,0.9657339907192666
ppo,,5,25,1,18,1.0,120.4,363.0,87.4,0.9664944854776006,1.0159915282392102
ppo,,5,25,1,19,0.0,300.0,721.0,197.4,0.8412277299771601,0.9249087333333346
ppo,,5,25,2,0,1.0,44.0,129.2,32.2,0.96345798320472,0.8807540909091022
ppo,,5,25,2,1,0.6,182.2,493.6,126.2,0.9240553899782628,0.9149301866081262
ppo,,5,25,2,2,1.0,51.0,167.8,40.0,0.9844726279644342,0.9411066666666668
ppo,,5,25,2,3,1.0,120.0,326.0,82.2,0.9447639038552657,0.8729843333333539
ppo,,5,25,2,4,1.0,68.6,201.6,48.2,0.9697287738847505,0.858766472303217
ppo,,5,25,2,5,0.6,213.8,429.2,115.4,0.9345692323781817,0.8232895229186227
ppo,,5,25,2,6,0.8,144.2,399.0,96.6,0.9768610542064149,0.9092994452149794
ppo,,5,25,2,7,0.2,250.6,597.4,158.6,0.8791660632297505,0.8719411013567413
ppo,,5,25,2,8,1.0,94.8,224.4,56.4,0.96872461926739,0.9198065400843695
ppo,,5,25,2,9,1.0,166.6,441.6,111.4,0.9761006895104023,0.8451325330132012
ppo,,5,25,2,10,1.0,74.2,194.2,51.0,0.9527932869642658,0.8591654986522884
ppo,,5,25,2,11,1.0,39.6,113.0,29.4,0.9398639402188932,0.8062545454545744
ppo,,5,25,2,12,1.0,151.2,379.6,99.0,0.9558746302109574,0.9444419312169282
ppo,,5,25,2,13,1.0,58.8,186.8,48.2,0.9576363403554305,0.9548360544217515
ppo,,5,25,2,14,1.0,32.0,105.4,27.2,0.9548393560272453,0.9046031249999587
ppo,,5,25,2,15,0.6,162.2,408.6,103.8,0.9446921874517841,0.9168969173859581
ppo,,5,25,2,16,1.0,83.6,254.4,58.2,0.9872327463191832,0.9103784688995304
ppo,,5,25,2,17,0.8,135.0,365.6,92.0,0.9587633221578145,0.8716336296296108
ppo,,5,25,2,18,0.4,197.2,333.4,77.0,0.9752577931531292,0.8769248478701911
ppo,,5,25,2,19,1.0,174.6,451.2,107.2,0.957552702136147,0.9484639175257669
